bsr_state_id,bsr_state_name,bsr_continent,selected_tsr_state_id,selected_tsr_state_name,selected_mapping_type,selected_confidence,alternative_mapping_count,issue_count,vp_omission_count,manual_building_distribution,manual_resource_distribution,owner_core_conflict,decision_status,decision_reason,review_categories,selection_notes
855,STATE_855,north_america,378,STATE_378,split,0.800,1,11,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=5/13; bsr_source_count=1
1430,STATE_1430,europe,29,STATE_29,split,1.000,1,10,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/5; bsr_source_count=1
1482,STATE_1482,europe,29,STATE_29,split,1.000,1,10,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/5; bsr_source_count=1
1839,STATE_1839,europe,29,STATE_29,split,1.000,1,10,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1
1919,STATE_1919,asia,1073,STATE_1073,split,1.000,1,10,5,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=8; tsr_overlap_rank=1/2; bsr_source_count=1
854,STATE_854,north_america,378,STATE_378,split,1.000,1,9,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=21; tsr_overlap_rank=1/13; bsr_source_count=1
1045,STATE_1045,europe,44,STATE_44,merge,0.667,1,9,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=2
1089,STATE_1089,europe,29,STATE_29,split,1.000,1,9,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1
1510,STATE_1510,europe,44,STATE_44,split,1.000,1,9,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1
1518,STATE_1518,north_america,378,STATE_378,split,1.000,1,9,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=12/13; bsr_source_count=1
1601,STATE_1601,europe,47,Thessaly,merge,0.500,2,9,4,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=4/6; bsr_source_count=2
1689,STATE_1689,north_america,378,STATE_378,split,1.000,1,9,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=10/13; bsr_source_count=1
1693,STATE_1693,north_america,378,STATE_378,split,1.000,1,9,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=9/13; bsr_source_count=1
791,STATE_791,europe,55,STATE_55,merge,0.500,2,8,4,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=2
835,STATE_835,north_america,357,STATE_357,split,1.000,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=5; tsr_overlap_rank=3/8; bsr_source_count=1
837,STATE_837,north_america,357,STATE_357,split,1.000,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=4/8; bsr_source_count=1
838,STATE_838,north_america,357,STATE_357,split,1.000,2,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=6/8; bsr_source_count=1
840,STATE_840,north_america,357,STATE_357,split,1.000,2,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=8/8; bsr_source_count=1
850,STATE_850,north_america,375,STATE_375,split,0.500,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=4/8; bsr_source_count=1
851,STATE_851,north_america,375,STATE_375,split,1.000,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=5/8; bsr_source_count=1
1183,STATE_1183,europe,28,Alsace-Lorraine,split,0.500,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/7; bsr_source_count=1
1436,STATE_1436,europe,28,Alsace-Lorraine,split,0.400,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=1/7; bsr_source_count=1
1616,STATE_1616,north_america,375,STATE_375,split,0.750,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=6/8; bsr_source_count=1
1637,STATE_1637,europe,142,STATE_142,merge,0.600,4,8,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=6; tsr_overlap_rank=2/3; bsr_source_count=4
1648,STATE_1648,north_america,357,STATE_357,split,0.500,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=7/8; bsr_source_count=1
1697,STATE_1697,north_america,375,STATE_375,split,1.000,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=8/8; bsr_source_count=1
1698,STATE_1698,north_america,375,STATE_375,split,1.000,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=7/8; bsr_source_count=1
1699,STATE_1699,north_america,375,STATE_375,split,1.000,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=7; tsr_overlap_rank=3/8; bsr_source_count=1
1750,STATE_1750,asia,325,STATE_325,merge,0.500,2,8,4,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=2
1872,STATE_1872,europe,160,STATE_160,merge,0.500,2,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=3/3; bsr_source_count=2
1876,STATE_1876,europe,28,Alsace-Lorraine,split,1.000,1,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/7; bsr_source_count=1
1929,STATE_1929,asia,1077,STATE_1077,merge,0.600,3,8,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=9; tsr_overlap_rank=2/2; bsr_source_count=3
29,STATE_29,europe,29,STATE_29,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=1/5; bsr_source_count=1
185,STATE_185,europe,185,STATE_185,merge,0.800,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=4; tsr_overlap_rank=1/7; bsr_source_count=2
291,STATE_291,middle_east,1011,STATE_1011,merge,0.600,2,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=2
667,STATE_667,asia,667,STATE_667,merge,0.417,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,merge; province_overlap=5; bsr_source_count=3
836,STATE_836,north_america,357,STATE_357,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=6; tsr_overlap_rank=2/8; bsr_source_count=1
903,STATE_903,asia,1031,STATE_1031,merge,0.600,3,7,4,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=3; tsr_overlap_rank=2/4; bsr_source_count=2
908,STATE_908,asia,527,STATE_527,split,1.000,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=2/3; bsr_source_count=1
911,STATE_911,asia,1031,STATE_1031,split,1.000,1,7,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=1
978,STATE_978,europe,47,Thessaly,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=1
986,STATE_986,europe,160,STATE_160,split,1.000,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1
1025,STATE_1025,asia,716,STATE_716,merge,0.667,2,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=4; tsr_overlap_rank=3/4; bsr_source_count=2
1061,STATE_1061,europe,7,STATE_7,merge,0.500,2,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=2
1112,STATE_1112,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=5/9; bsr_source_count=1
1151,STATE_1151,europe,150,KUOPIO,merge,0.812,3,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=13; tsr_overlap_rank=1/5; bsr_source_count=3
1202,STATE_1202,asia,593,STATE_593,merge,0.750,2,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=6; tsr_overlap_rank=2/2; bsr_source_count=2
1203,STATE_1203,europe,161,STATE_161,merge,0.500,3,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=3/4; bsr_source_count=3
1244,STATE_1244,middle_east,676,STATE_676,merge,0.400,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=2
1274,STATE_1274,africa,447,STATE_447,merge,0.750,2,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=3; tsr_overlap_rank=2/2; bsr_source_count=2
1303,STATE_1303,europe,185,STATE_185,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/7; bsr_source_count=1
1333,STATE_1333,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/9; bsr_source_count=1
1362,STATE_1362,europe,666,STATE_666,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=8; tsr_overlap_rank=2/2; bsr_source_count=1
1427,STATE_1427,europe,185,STATE_185,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=5/7; bsr_source_count=1
1453,STATE_1453,europe,47,Thessaly,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=1/6; bsr_source_count=1
1508,STATE_1508,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=4/9; bsr_source_count=1
1513,STATE_1513,europe,47,Thessaly,split,0.667,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/6; bsr_source_count=1
1596,STATE_1596,europe,161,STATE_161,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
1630,Savo / Tavastland / Tavastia,europe,148,LAPPI,merge,0.533,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=8; tsr_overlap_rank=2/3; bsr_source_count=2
1655,STATE_1655,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/9; bsr_source_count=1
1700,STATE_1700,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=9/9; bsr_source_count=1
1701,STATE_1701,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=3/9; bsr_source_count=1
1710,STATE_1710,europe,9,STATE_9,merge,0.500,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=2
1767,STATE_1767,europe,55,STATE_55,split,1.000,1,7,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=5/6; bsr_source_count=1
1794,STATE_1794,asia,325,STATE_325,merge,0.500,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=3/4; bsr_source_count=2
1912,STATE_1912,asia,1071,STATE_1071,merge,0.667,2,7,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=4; tsr_overlap_rank=2/4; bsr_source_count=2
1949,Mysore,asia,425,Mysore,split,0.500,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=3/3; bsr_source_count=1
63,STATE_63,europe,63,STATE_63,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=1/9; bsr_source_count=1
144,STATE_144,europe,925,STATE_925,merge,0.882,2,6,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=15; tsr_overlap_rank=1/2; bsr_source_count=2
187,STATE_187,europe,187,STATE_187,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=1/3; bsr_source_count=1
719,STATE_719,africa,719,Natal,split,0.667,2,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
799,STATE_799,europe,50,Württemberg,merge,0.500,2,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=2
839,STATE_839,north_america,357,STATE_357,split,0.800,3,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=5/8; bsr_source_count=1
852,STATE_852,north_america,375,STATE_375,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=13; tsr_overlap_rank=1/8; bsr_source_count=1
863,STATE_863,europe,88,STATE_88,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=9/9; bsr_source_count=1
889,STATE_889,europe,70,STATE_70,split,0.500,2,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/3; bsr_source_count=1
896,STATE_896,africa,772,Middle Congo (Brazzaville),split,0.500,2,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
977,STATE_977,europe,185,STATE_185,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=7/7; bsr_source_count=1
988,STATE_988,europe,158,STATE_158,split,0.833,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=5; tsr_overlap_rank=1/6; bsr_source_count=1
996,STATE_996,europe,88,STATE_88,split,0.500,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/9; bsr_source_count=1
1023,STATE_1023,asia,716,STATE_716,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=6; tsr_overlap_rank=2/4; bsr_source_count=1
1024,STATE_1024,asia,328,Kirin,merge,0.562,2,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=9; tsr_overlap_rank=2/4; bsr_source_count=2
1049,STATE_1049,africa,274,STATE_274,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
1058,STATE_1058,europe,35,STATE_35,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/5; bsr_source_count=1
1093,STATE_1093,asia,1071,STATE_1071,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=1
1142,STATE_1142,europe,212,STATE_212,split,0.667,2,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=3/4; bsr_source_count=1
1143,STATE_1143,europe,212,STATE_212,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
1149,STATE_1149,europe,976,STATE_976,merge,0.857,2,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=6; tsr_overlap_rank=1/3; bsr_source_count=2
1181,STATE_1181,europe,88,STATE_88,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=5/9; bsr_source_count=1
1246,STATE_1246,middle_east,676,STATE_676,split,0.667,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=3/5; bsr_source_count=1
1328,STATE_1328,europe,65,STATE_65,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=1
1351,STATE_1351,europe,158,STATE_158,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=1
1361,STATE_1361,europe,148,LAPPI,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=6; tsr_overlap_rank=3/3; bsr_source_count=1
1398,STATE_1398,europe,119,STATE_119,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/4; bsr_source_count=1
1399,STATE_1399,europe,119,STATE_119,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=1
1432,STATE_1432,europe,55,STATE_55,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/6; bsr_source_count=1
1435,STATE_1435,europe,6,Flanders,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
1486,STATE_1486,europe,212,STATE_212,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=1
1577,STATE_1577,africa,459,Algiers,merge,0.700,2,6,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=2
1599,STATE_1599,europe,88,STATE_88,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=3/9; bsr_source_count=1
1611,STATE_1611,europe,65,STATE_65,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/6; bsr_source_count=1
1737,STATE_1737,europe,88,STATE_88,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/9; bsr_source_count=1
1756,STATE_1756,europe,161,STATE_161,split,0.667,2,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=4/4; bsr_source_count=1
1802,STATE_1802,europe,158,STATE_158,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=5/6; bsr_source_count=1
1807,STATE_1807,europe,977,Antwerpen,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/3; bsr_source_count=1
1884,STATE_1884,asia,325,STATE_325,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=12; tsr_overlap_rank=1/4; bsr_source_count=1
1911,STATE_1911,asia,672,STATE_672,merge,0.667,2,6,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=4; tsr_overlap_rank=3/3; bsr_source_count=2
1913,STATE_1913,asia,1071,STATE_1071,merge,0.769,3,6,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=10; tsr_overlap_rank=1/4; bsr_source_count=3
1926,STATE_1926,europe,65,STATE_65,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/6; bsr_source_count=1
