state 10: split/merge VP added province 3544 (from 402, value=1.0)
state 1059: split/merge VP added province 9403 (from 9335, value=3.0)
state 1059: split/merge VP added province 9403 (from 6336, value=1.0)
state 1060: split/merge VP added province 6500 (from 3262, value=5.0)
state 1060: split/merge VP added province 6500 (from 6496, value=3.0)
state 1061: split/merge VP added province 11456 (from 391, value=40.0)
state 1061: split/merge VP added province 9498 (from 3211, value=10.0)
state 1062: split/merge VP added province 3444 (from 6469, value=10.0)
state 1062: split/merge VP added province 3444 (from 587, value=5.0)
state 1062: split/merge VP added province 3444 (from 3547, value=1.0)
state 1063: split/merge VP added province 9930 (from 11905, value=1.0)
state 1064: split/merge VP added province 12552 (from 4975, value=1.0)
state 1065: split/merge VP added province 13949 (from 1827, value=5.0)
state 1074: split/merge VP added province 12332 (from 1464, value=1.0)
state 1075: split/merge VP added province 4539 (from 1464, value=1.0)
state 1076: split/merge VP added province 10453 (from 1592, value=1.0)
state 1077: split/merge VP added province 1592 (from 1563, value=2.0)
state 1078: split/merge VP added province 12048 (from 4075, value=5.0)
state 1079: split/merge VP added province 7280 (from 10309, value=2.0)
state 108: split/merge VP added province 6940 (from 9849, value=2.0)
state 1081: split/merge VP added province 7303 (from 4401, value=5.0)
state 1083: split/merge VP added province 12167 (from 7376, value=1.0)
state 1084: split/merge VP added province 12260 (from 7376, value=1.0)
state 1088: split/merge VP added province 4909 (from 12991, value=3.0)
state 1089: split/merge VP added province 575 (from 11483, value=10.0)
state 1089: split/merge VP added province 575 (from 11548, value=15.0)
state 1091: split/merge VP added province 1530 (from 1599, value=5.0)
state 1091: split/merge VP added province 9632 (from 3653, value=3.0)
state 1092: split/merge VP added province 4534 (from 1599, value=5.0)
state 1092: split/merge VP added province 11609 (from 3653, value=3.0)
state 1093: split/merge VP added province 12113 (from 4652, value=10.0)
state 1093: split/merge VP added province 12113 (from 12212, value=1.0)
state 1098: split/merge VP added province 12388 (from 10438, value=1.0)
state 1099: split/merge VP added province 1308 (from 7236, value=1.0)
state 11: split/merge VP added province 9357 (from 6229, value=1.0)
state 1100: split/merge VP added province 9576 (from 3757, value=2.0)
state 1100: split/merge VP added province 9576 (from 741, value=1.0)
state 1103: split/merge VP added province 3908 (from 949, value=15.0)
state 1103: split/merge VP added province 935 (from 9771, value=1.0)
state 1104: split/merge VP added province 3868 (from 6889, value=3.0)
state 1105: split/merge VP added province 6521 (from 3522, value=5.0)
state 1105: split/merge VP added province 6521 (from 9496, value=1.0)
state 1106: split/merge VP added province 8111 (from 8038, value=1.0)
state 1107: split/merge VP added province 668 (from 673, value=5.0)
state 111: split/merge VP added province 6108 (from 11211, value=1.0)
state 1111: split/merge VP added province 13298 (from 7980, value=2.0)
state 1111: split/merge VP added province 12714 (from 13249, value=3.0)
state 1112: split/merge VP added province 11260 (from 6282, value=5.0)
state 1112: split/merge VP added province 11288 (from 11372, value=3.0)
state 1113: VP remapped province 13237 -> 2072 (value=1.0)
state 1113: VP remapped province 13238 -> 2072 (value=1.0)
state 1114: split/merge VP added province 11147 (from 11091, value=2.0)
state 1119: split/merge VP added province 9546 (from 9508, value=10.0)
state 1122: split/merge VP added province 464 (from 3618, value=1.0)
state 1123: split/merge VP added province 9526 (from 11537, value=1.0)
state 1126: split/merge VP added province 6532 (from 3568, value=3.0)
state 1127: split/merge VP added province 453 (from 11437, value=10.0)
state 1127: split/merge VP added province 9479 (from 11561, value=1.0)
state 1129: split/merge VP added province 7519 (from 10781, value=1.0)
state 1130: split/merge VP added province 7984 (from 12248, value=1.0)
state 1131: split/merge VP added province 13263 (from 5064, value=1.0)
state 1134: split/merge VP added province 844 (from 924, value=1.0)
state 1136: split/merge VP added province 1968 (from 191, value=2.0)
state 1137: split/merge VP added province 7931 (from 988, value=2.0)
state 1138: split/merge VP added province 10435 (from 12465, value=1.0)
state 1139: split/merge VP added province 13345 (from 11818, value=5.0)
state 1142: split/merge VP added province 893 (from 6923, value=10.0)
state 1142: split/merge VP added province 13320 (from 6814, value=3.0)
state 1142: split/merge VP added province 13320 (from 9862, value=1.0)
state 1143: split/merge VP added province 9818 (from 6923, value=10.0)
state 1143: split/merge VP added province 9818 (from 6814, value=3.0)
state 1143: split/merge VP added province 9818 (from 9862, value=1.0)
state 1148: split/merge VP added province 7784 (from 1668, value=1.0)
state 1149: split/merge VP added province 6687 (from 3673, value=3.0)
state 1149: split/merge VP added province 6687 (from 11612, value=2.0)
state 115: VP remapped province 13256 -> 4159 (value=1.0)
state 1151: split/merge VP added province 193 (from 11141, value=2.0)
state 1151: split/merge VP added province 37 (from 136, value=1.0)
state 1151: split/merge VP added province 193 (from 3125, value=1.0)
state 1155: split/merge VP added province 13334 (from 12883, value=1.0)
state 1155: split/merge VP added province 13334 (from 5037, value=5.0)
state 1157: split/merge VP added province 4170 (from 9940, value=5.0)
state 1157: split/merge VP added province 4170 (from 12058, value=3.0)
state 1159: split/merge VP added province 3526 (from 11818, value=5.0)
state 1163: split/merge VP added province 11355 (from 9288, value=10.0)
state 1170: split/merge VP added province 3331 (from 11241, value=5.0)
state 1171: split/merge VP added province 10408 (from 12583, value=1.0)
state 1175: split/merge VP added province 3878 (from 11654, value=3.0)
state 1179: split/merge VP added province 9771 (from 949, value=15.0)
state 1180: split/merge VP added province 3483 (from 11479, value=3.0)
state 1181: split/merge VP added province 9412 (from 9427, value=20.0)
state 1181: split/merge VP added province 9412 (from 442, value=3.0)
state 1181: split/merge VP added province 9412 (from 9494, value=1.0)
state 1183: split/merge VP added province 5506 (from 6529, value=1.0)
state 1183: split/merge VP added province 1346 (from 549, value=1.0)
state 1183: split/merge VP added province 1346 (from 678, value=5.0)
state 1183: split/merge VP added province 1346 (from 9503, value=5.0)
state 1183: split/merge VP added province 1346 (from 9559, value=10.0)
state 1184: split/merge VP added province 3560 (from 13011, value=5.0)
state 1185: split/merge VP added province 9590 (from 6613, value=10.0)
state 1186: split/merge VP added province 9597 (from 6657, value=5.0)
state 1189: split/merge VP added province 6913 (from 9809, value=3.0)
state 1189: split/merge VP added province 6913 (from 9821, value=1.0)
state 119: split/merge VP added province 3329 (from 385, value=1.0)
state 1190: split/merge VP added province 3922 (from 9602, value=3.0)
state 1192: split/merge VP added province 3392 (from 560, value=1.0)
state 1193: split/merge VP added province 9838 (from 925, value=1.0)
state 1197: split/merge VP added province 7133 (from 12989, value=1.0)
state 1199: split/merge VP added province 10914 (from 4975, value=1.0)
state 1200: split/merge VP added province 13375 (from 4975, value=1.0)
state 1201: split/merge VP added province 13378 (from 6711, value=5.0)
state 1202: split/merge VP added province 1120 (from 9938, value=1.0)
state 1202: split/merge VP added province 11941 (from 7108, value=1.0)
state 1203: split/merge VP added province 11734 (from 6606, value=5.0)
state 1203: split/merge VP added province 11734 (from 6793, value=3.0)
state 1204: split/merge VP added province 6886 (from 3882, value=5.0)
state 1205: split/merge VP added province 13890 (from 9304, value=1.0)
state 1206: split/merge VP added province 12692 (from 12589, value=10.0)
state 1207: split/merge VP added province 13384 (from 12589, value=10.0)
state 1208: split/merge VP added province 10668 (from 10400, value=10.0)
state 1209: split/merge VP added province 5203 (from 12589, value=10.0)
state 1210: split/merge VP added province 13388 (from 12589, value=10.0)
state 1211: split/merge VP added province 12547 (from 12589, value=10.0)
state 1213: split/merge VP added province 7576 (from 1468, value=3.0)
state 1213: split/merge VP added province 1833 (from 4696, value=1.0)
state 1215: split/merge VP added province 5231 (from 10400, value=10.0)
state 1216: split/merge VP added province 12064 (from 10400, value=10.0)
state 1218: split/merge VP added province 1468 (from 4696, value=1.0)
state 1222: split/merge VP added province 11704 (from 7661, value=10.0)
state 1223: split/merge VP added province 6642 (from 12320, value=3.0)
state 1223: split/merge VP added province 6642 (from 12441, value=1.0)
state 1225: split/merge VP added province 3658 (from 1599, value=5.0)
state 1225: split/merge VP added province 3656 (from 3653, value=3.0)
state 1226: split/merge VP added province 9626 (from 1599, value=5.0)
state 1226: split/merge VP added province 654 (from 3653, value=3.0)
state 1227: split/merge VP added province 3653 (from 1599, value=5.0)
state 1229: split/merge VP added province 11762 (from 9780, value=3.0)
state 123: split/merge VP added province 540 (from 6526, value=1.0)
state 1230: split/merge VP added province 3865 (from 3882, value=5.0)
state 1232: split/merge VP added province 1065 (from 1086, value=3.0)
state 1232: split/merge VP added province 1065 (from 4206, value=1.0)
state 1233: split/merge VP added province 4088 (from 1086, value=3.0)
state 1233: split/merge VP added province 4088 (from 4206, value=1.0)
state 1233: split/merge VP added province 4088 (from 1065, value=1.0)
state 1236: split/merge VP added province 1086 (from 4206, value=1.0)
state 1236: split/merge VP added province 1086 (from 1065, value=1.0)
state 1239: split/merge VP added province 11919 (from 792, value=5.0)
state 1240: split/merge VP added province 1074 (from 4111, value=5.0)
state 1240: split/merge VP added province 1074 (from 4486, value=1.0)
state 1241: split/merge VP added province 4486 (from 4111, value=5.0)
state 1242: split/merge VP added province 1088 (from 12473, value=3.0)
state 1242: split/merge VP added province 10087 (from 1056, value=1.0)
state 1244: split/merge VP added province 1600 (from 10106, value=5.0)
state 1244: split/merge VP added province 1600 (from 3916, value=3.0)
state 1244: split/merge VP added province 13440 (from 6826, value=1.0)
state 1245: split/merge VP added province 13417 (from 10106, value=5.0)
state 1245: split/merge VP added province 13417 (from 3916, value=3.0)
state 1246: split/merge VP added province 8123 (from 10106, value=5.0)
state 1246: split/merge VP added province 8123 (from 3916, value=3.0)
state 1246: split/merge VP added province 10793 (from 6826, value=1.0)
state 1247: split/merge VP added province 12855 (from 7994, value=1.0)
state 1249: split/merge VP added province 1922 (from 7953, value=1.0)
state 1250: split/merge VP added province 12564 (from 12594, value=2.0)
state 1250: split/merge VP added province 4674 (from 7350, value=1.0)
state 1256: split/merge VP added province 1072 (from 12473, value=3.0)
state 1256: split/merge VP added province 1056 (from 1088, value=1.0)
state 126: split/merge VP added province 11333 (from 6103, value=50.0)
state 1263: split/merge VP added province 9715 (from 7661, value=10.0)
state 1263: split/merge VP added province 1467 (from 11674, value=1.0)
state 1264: split/merge VP added province 10804 (from 10106, value=5.0)
state 1264: split/merge VP added province 13441 (from 6826, value=1.0)
state 1267: split/merge VP added province 3686 (from 9680, value=1.0)
state 1267: split/merge VP added province 3686 (from 6704, value=1.0)
state 1267: split/merge VP added province 3686 (from 705, value=3.0)
state 1268: split/merge VP added province 9867 (from 11465, value=5.0)
state 127: split/merge VP added province 13070 (from 3501, value=20.0)
state 1270: split/merge VP added province 6639 (from 6613, value=10.0)
state 1273: split/merge VP added province 12805 (from 1384, value=1.0)
state 1274: split/merge VP added province 7091 (from 4076, value=10.0)
state 1274: split/merge VP added province 7091 (from 1071, value=1.0)
state 1275: split/merge VP added province 11467 (from 9511, value=3.0)
state 1276: split/merge VP added province 3996 (from 7011, value=20.0)
state 1277: split/merge VP added province 13467 (from 12071, value=3.0)
state 1277: split/merge VP added province 13467 (from 11999, value=1.0)
state 1278: split/merge VP added province 13466 (from 12071, value=3.0)
state 1278: split/merge VP added province 13470 (from 11974, value=1.0)
state 1278: split/merge VP added province 13466 (from 11999, value=1.0)
state 1279: split/merge VP added province 13465 (from 11974, value=1.0)
state 1285: split/merge VP added province 2066 (from 1939, value=2.0)
state 1288: split/merge VP added province 10002 (from 4161, value=3.0)
state 129: split/merge VP added province 11279 (from 6237, value=10.0)
state 1291: split/merge VP added province 9887 (from 11811, value=1.0)
state 1291: split/merge VP added province 9887 (from 947, value=10.0)
state 1300: split/merge VP added province 2172 (from 11007, value=2.0)
state 1300: split/merge VP added province 2172 (from 12964, value=1.0)
state 1302: split/merge VP added province 11832 (from 11857, value=1.0)
state 1303: split/merge VP added province 3980 (from 10203, value=1.0)
state 1303: split/merge VP added province 3980 (from 3914, value=3.0)
state 1303: split/merge VP added province 3980 (from 1205, value=1.0)
state 1305: split/merge VP added province 12890 (from 10750, value=1.0)
state 1313: split/merge VP added province 8126 (from 7965, value=3.0)
state 1313: split/merge VP added province 8126 (from 10863, value=1.0)
state 1314: split/merge VP added province 1602 (from 10505, value=1.0)
state 1315: split/merge VP added province 12023 (from 7137, value=10.0)
state 1315: split/merge VP added province 12023 (from 10459, value=1.0)
state 1317: split/merge VP added province 1023 (from 10404, value=5.0)
state 1317: split/merge VP added province 7128 (from 1597, value=1.0)
state 1323: split/merge VP added province 2195 (from 5165, value=1.0)
state 1325: split/merge VP added province 6604 (from 3581, value=3.0)
state 1328: split/merge VP added province 3514 (from 514, value=5.0)
state 1328: split/merge VP added province 3514 (from 3535, value=5.0)
state 1328: split/merge VP added province 3514 (from 9471, value=2.0)
state 1329: split/merge VP added province 478 (from 6521, value=50.0)
state 1329: split/merge VP added province 478 (from 3522, value=5.0)
state 1329: split/merge VP added province 11415 (from 9496, value=1.0)
state 1332: split/merge VP added province 11478 (from 3473, value=1.0)
state 1333: split/merge VP added province 11316 (from 6282, value=5.0)
state 1333: split/merge VP added province 11316 (from 11372, value=3.0)
state 1334: split/merge VP added province 3512 (from 6469, value=10.0)
state 1334: split/merge VP added province 3512 (from 587, value=5.0)
state 1334: split/merge VP added province 3512 (from 3444, value=5.0)
state 1334: split/merge VP added province 3512 (from 3547, value=1.0)
state 1347: split/merge VP added province 9511 (from 11467, value=5.0)
state 1348: split/merge VP added province 6512 (from 11467, value=5.0)
state 1348: split/merge VP added province 6512 (from 9511, value=3.0)
state 1350: split/merge VP added province 11435 (from 3423, value=3.0)
state 1350: split/merge VP added province 11435 (from 9575, value=3.0)
state 1350: split/merge VP added province 11435 (from 11531, value=5.0)
state 1351: split/merge VP added province 611 (from 6788, value=10.0)
state 1351: split/merge VP added province 611 (from 6780, value=5.0)
state 1352: split/merge VP added province 13777 (from 9710, value=3.0)
state 1353: split/merge VP added province 11697 (from 9710, value=3.0)
state 1358: split/merge VP added province 13859 (from 8248, value=1.0)
state 1361: split/merge VP added province 11125 (from 11164, value=2.0)
state 1361: split/merge VP added province 124 (from 6087, value=1.0)
state 1361: split/merge VP added province 3055 (from 6142, value=1.0)
state 1362: split/merge VP added province 9147 (from 9108, value=2.0)
state 1362: split/merge VP added province 11060 (from 3095, value=1.0)
state 1362: split/merge VP added province 151 (from 11155, value=1.0)
state 1363: split/merge VP added province 11329 (from 11301, value=3.0)
state 1363: split/merge VP added province 11329 (from 3393, value=3.0)
state 1363: split/merge VP added province 11329 (from 3254, value=1.0)
state 1364: split/merge VP added province 3295 (from 9263, value=5.0)
state 1364: split/merge VP added province 3295 (from 279, value=1.0)
state 1366: split/merge VP added province 6763 (from 7661, value=10.0)
state 1366: split/merge VP added province 1539 (from 11674, value=1.0)
state 1367: split/merge VP added province 12441 (from 12320, value=3.0)
state 1369: split/merge VP added province 3060 (from 9206, value=3.0)
state 137: split/merge VP added province 6704 (from 3686, value=20.0)
state 137: split/merge VP added province 6704 (from 705, value=3.0)
state 1370: split/merge VP added province 6884 (from 3790, value=1.0)
state 1370: split/merge VP added province 6884 (from 6880, value=1.0)
state 1370: split/merge VP added province 6884 (from 6933, value=1.0)
state 1370: split/merge VP added province 6884 (from 970, value=1.0)
state 1373: split/merge VP added province 11274 (from 11301, value=3.0)
state 1373: split/merge VP added province 11274 (from 3393, value=3.0)
state 1373: split/merge VP added province 11274 (from 3254, value=1.0)
state 1374: split/merge VP added province 9427 (from 442, value=3.0)
state 1374: split/merge VP added province 9427 (from 9494, value=1.0)
state 1375: split/merge VP added province 3393 (from 9304, value=1.0)
state 1378: split/merge VP added province 9690 (from 9660, value=20.0)
state 1379: split/merge VP added province 6735 (from 11659, value=5.0)
state 1379: split/merge VP added province 6735 (from 11646, value=1.0)
state 1379: split/merge VP added province 6735 (from 679, value=3.0)
state 1381: split/merge VP added province 9100 (from 9206, value=3.0)
state 1383: split/merge VP added province 13380 (from 406, value=1.0)
state 1384: split/merge VP added province 11528 (from 3392, value=1.0)
state 1384: split/merge VP added province 11528 (from 560, value=1.0)
state 1385: split/merge VP added province 11441 (from 6557, value=1.0)
state 1385: split/merge VP added province 11441 (from 572, value=5.0)
state 1385: split/merge VP added province 11441 (from 422, value=3.0)
state 1386: split/merge VP added province 11427 (from 11479, value=3.0)
state 1386: split/merge VP added province 11427 (from 3483, value=5.0)
state 1387: split/merge VP added province 6889 (from 3924, value=3.0)
state 1391: split/merge VP added province 770 (from 6788, value=10.0)
state 1392: split/merge VP added province 8125 (from 8040, value=3.0)
state 1392: split/merge VP added province 8125 (from 2065, value=1.0)
state 1393: split/merge VP added province 4637 (from 4901, value=3.0)
state 1394: split/merge VP added province 12756 (from 2026, value=1.0)
state 1394: split/merge VP added province 12756 (from 4928, value=1.0)
state 1395: split/merge VP added province 337 (from 9303, value=3.0)
state 1395: split/merge VP added province 337 (from 11371, value=1.0)
state 1396: split/merge VP added province 11303 (from 285, value=1.0)
state 1396: split/merge VP added province 11303 (from 303, value=1.0)
state 1396: split/merge VP added province 11303 (from 11293, value=10.0)
state 1397: split/merge VP added province 385 (from 3379, value=5.0)
state 1398: split/merge VP added province 3242 (from 3379, value=5.0)
state 1398: split/merge VP added province 3242 (from 385, value=1.0)
state 1399: split/merge VP added province 276 (from 3379, value=5.0)
state 1399: split/merge VP added province 276 (from 385, value=1.0)
state 14: split/merge VP added province 13903 (from 3552, value=20.0)
state 1401: split/merge VP added province 6301 (from 9297, value=25.0)
state 1402: split/merge VP added province 5200 (from 12951, value=2.0)
state 1403: split/merge VP added province 9756 (from 9602, value=3.0)
state 1404: split/merge VP added province 11899 (from 6983, value=3.0)
state 1405: split/merge VP added province 11406 (from 540, value=10.0)
state 1406: split/merge VP added province 13682 (from 11399, value=1.0)
state 1407: split/merge VP added province 3977 (from 957, value=15.0)
state 1408: split/merge VP added province 13876 (from 6375, value=3.0)
state 1408: split/merge VP added province 13876 (from 11386, value=1.0)
state 1409: split/merge VP added province 11245 (from 6375, value=3.0)
state 1409: split/merge VP added province 9398 (from 11386, value=1.0)
state 1412: split/merge VP added province 3206 (from 6235, value=2.0)
state 1412: split/merge VP added province 3341 (from 6364, value=3.0)
state 1413: split/merge VP added province 316 (from 6235, value=2.0)
state 1413: split/merge VP added province 394 (from 6364, value=3.0)
state 1413: split/merge VP added province 316 (from 3277, value=1.0)
state 1413: split/merge VP added province 316 (from 399, value=2.0)
state 1413: split/merge VP added province 316 (from 3206, value=1.0)
state 1415: split/merge VP added province 6581 (from 9517, value=20.0)
state 1415: split/merge VP added province 6581 (from 11499, value=3.0)
state 1418: split/merge VP added province 12578 (from 1408, value=15.0)
state 1421: split/merge VP added province 3985 (from 11899, value=5.0)
state 1421: split/merge VP added province 3985 (from 6983, value=3.0)
state 1422: split/merge VP added province 3501 (from 9458, value=15.0)
state 1424: split/merge VP added province 279 (from 9263, value=5.0)
state 1424: split/merge VP added province 279 (from 3295, value=5.0)
state 1425: split/merge VP added province 8545 (from 3295, value=5.0)
state 1425: split/merge VP added province 8545 (from 279, value=1.0)
state 1426: split/merge VP added province 3532 (from 6558, value=10.0)
state 1427: split/merge VP added province 1106 (from 10203, value=1.0)
state 1427: split/merge VP added province 1106 (from 3914, value=3.0)
state 1427: split/merge VP added province 1106 (from 1205, value=1.0)
state 1428: split/merge VP added province 3844 (from 11818, value=5.0)
state 1430: split/merge VP added province 11483 (from 575, value=5.0)
state 1430: split/merge VP added province 11483 (from 11548, value=15.0)
state 1431: split/merge VP added province 11630 (from 6720, value=10.0)
state 1431: split/merge VP added province 11627 (from 686, value=2.0)
state 1432: split/merge VP added province 6444 (from 6488, value=20.0)
state 1432: split/merge VP added province 9486 (from 564, value=3.0)
state 1432: split/merge VP added province 6444 (from 11560, value=2.0)
state 1433: split/merge VP added province 6579 (from 3392, value=1.0)
state 1433: split/merge VP added province 6579 (from 560, value=1.0)
state 1434: split/merge VP added province 11543 (from 6557, value=1.0)
state 1434: split/merge VP added province 11543 (from 572, value=5.0)
state 1434: split/merge VP added province 11543 (from 422, value=3.0)
state 1435: split/merge VP added province 516 (from 6560, value=5.0)
state 1435: split/merge VP added province 516 (from 3576, value=1.0)
state 1436: split/merge VP added province 13888 (from 6529, value=1.0)
state 1436: split/merge VP added province 13888 (from 678, value=5.0)
state 1436: split/merge VP added province 13888 (from 9503, value=5.0)
state 1436: split/merge VP added province 13886 (from 9559, value=10.0)
state 1437: split/merge VP added province 12450 (from 12320, value=3.0)
state 1437: split/merge VP added province 11708 (from 12441, value=1.0)
state 1438: split/merge VP added province 6314 (from 9483, value=3.0)
state 144: split/merge VP added province 9064 (from 9116, value=1.0)
state 1441: split/merge VP added province 6359 (from 9304, value=1.0)
state 1443: split/merge VP added province 348 (from 6332, value=10.0)
state 1444: split/merge VP added province 3421 (from 6474, value=10.0)
state 1445: split/merge VP added province 9476 (from 9461, value=1.0)
state 1446: split/merge VP added province 6565 (from 3520, value=3.0)
state 1446: split/merge VP added province 6565 (from 9566, value=1.0)
state 1447: split/merge VP added province 3690 (from 9517, value=20.0)
state 1447: split/merge VP added province 3690 (from 11499, value=3.0)
state 1448: split/merge VP added province 7808 (from 7843, value=1.0)
state 1450: split/merge VP added province 596 (from 665, value=1.0)
state 1453: split/merge VP added province 3864 (from 4109, value=20.0)
state 1453: split/merge VP added province 3864 (from 976, value=1.0)
state 1453: split/merge VP added province 3864 (from 7127, value=3.0)
state 1453: split/merge VP added province 3864 (from 3988, value=1.0)
state 1455: split/merge VP added province 6429 (from 3457, value=3.0)
state 1456: split/merge VP added province 3917 (from 788, value=10.0)
state 1456: split/merge VP added province 3917 (from 10412, value=15.0)
state 1457: split/merge VP added province 671 (from 673, value=5.0)
state 1459: split/merge VP added province 10406 (from 12333, value=2.0)
state 146: split/merge VP added province 3050 (from 9206, value=3.0)
state 1460: split/merge VP added province 10359 (from 12333, value=2.0)
state 1461: split/merge VP added province 1632 (from 12333, value=2.0)
state 1462: split/merge VP added province 8099 (from 12333, value=2.0)
state 1463: split/merge VP added province 4629 (from 1459, value=3.0)
state 1463: split/merge VP added province 4629 (from 10488, value=1.0)
state 1466: split/merge VP added province 12491 (from 12333, value=2.0)
state 1467: split/merge VP added province 12454 (from 1614, value=1.0)
state 1468: split/merge VP added province 12430 (from 1384, value=1.0)
state 1469: split/merge VP added province 4636 (from 7597, value=1.0)
state 1470: split/merge VP added province 342 (from 11370, value=20.0)
state 1472: split/merge VP added province 707 (from 692, value=20.0)
state 1472: split/merge VP added province 707 (from 708, value=3.0)
state 1473: split/merge VP added province 6263 (from 3326, value=5.0)
state 1473: split/merge VP added province 6263 (from 374, value=2.0)
state 1475: split/merge VP added province 4580 (from 10837, value=10.0)
state 1477: split/merge VP added province 12427 (from 12594, value=2.0)
state 1477: split/merge VP added province 12427 (from 7350, value=1.0)
state 1478: split/merge VP added province 3552 (from 6536, value=5.0)
state 1478: split/merge VP added province 3552 (from 9495, value=1.0)
state 148: split/merge VP added province 6087 (from 11164, value=2.0)
state 148: split/merge VP added province 9189 (from 11125, value=1.0)
state 1480: split/merge VP added province 5229 (from 5230, value=12.0)
state 1480: split/merge VP added province 5229 (from 12930, value=10.0)
state 1481: split/merge VP added province 12466 (from 4548, value=2.0)
state 1481: split/merge VP added province 12466 (from 10405, value=1.0)
state 1482: split/merge VP added province 11548 (from 575, value=5.0)
state 1482: split/merge VP added province 11548 (from 11483, value=10.0)
state 1484: VP remapped province 5214 -> 4980 (value=1.0)
state 1485: split/merge VP added province 3496 (from 3392, value=1.0)
state 1485: split/merge VP added province 3496 (from 560, value=1.0)
state 1486: split/merge VP added province 11813 (from 6923, value=10.0)
state 1486: split/merge VP added province 11813 (from 6814, value=3.0)
state 1486: split/merge VP added province 11813 (from 9862, value=1.0)
state 1487: split/merge VP added province 7661 (from 11674, value=1.0)
state 1488: split/merge VP added province 1955 (from 12702, value=1.0)
state 1489: split/merge VP added province 10488 (from 1459, value=3.0)
state 149: split/merge VP added province 6013 (from 3122, value=2.0)
state 149: split/merge VP added province 9156 (from 66, value=1.0)
state 149: split/merge VP added province 11144 (from 6141, value=1.0)
state 1490: split/merge VP added province 9465 (from 525, value=25.0)
state 1491: split/merge VP added province 504 (from 525, value=25.0)
state 1493: split/merge VP added province 6039 (from 2080, value=1.0)
state 1494: split/merge VP added province 10520 (from 12735, value=1.0)
state 1496: split/merge VP added province 4650 (from 4464, value=1.0)
state 1497: split/merge VP added province 4622 (from 7480, value=1.0)
state 1498: split/merge VP added province 13340 (from 12883, value=1.0)
state 1498: split/merge VP added province 13340 (from 5037, value=5.0)
state 150: split/merge VP added province 6033 (from 9061, value=1.0)
state 1500: split/merge VP added province 724 (from 9817, value=10.0)
state 1500: split/merge VP added province 6921 (from 11673, value=5.0)
state 1501: split/merge VP added province 924 (from 9869, value=1.0)
state 1502: split/merge VP added province 970 (from 3790, value=1.0)
state 1502: split/merge VP added province 970 (from 6880, value=1.0)
state 1502: split/merge VP added province 970 (from 6933, value=1.0)
state 1503: split/merge VP added province 11851 (from 6902, value=1.0)
state 1506: split/merge VP added province 11331 (from 6389, value=10.0)
state 1506: split/merge VP added province 9320 (from 9347, value=20.0)
state 1507: split/merge VP added province 713 (from 3696, value=5.0)
state 1508: split/merge VP added province 6390 (from 6282, value=5.0)
state 1508: split/merge VP added province 6334 (from 11372, value=3.0)
state 1509: split/merge VP added province 3312 (from 9388, value=1.0)
state 1509: split/merge VP added province 3312 (from 3258, value=1.0)
state 151: split/merge VP added province 661 (from 658, value=1.0)
state 1510: split/merge VP added province 9875 (from 9914, value=5.0)
state 1510: split/merge VP added province 9875 (from 11767, value=2.0)
state 1510: split/merge VP added province 9875 (from 13255, value=2.0)
