bsr_state_id,bsr_state_name,current_selected_tsr_state_id,current_selected_tsr_state_name,current_mapping_type,suggested_decision_status,manual_decision,manual_tsr_state_id,reviewer_notes,applied_tsr_state_id,applied_mapping_type
18,STATE_18,1062,STATE_1062,split,,approve_selected,,Phase4b: conf=0.75 owner/core conflict auto approve,1062,split
19,STATE_19,19,STATE_19,merge,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,19,merge
20,STATE_20,20,Rhone,merge,,approve_selected,,Phase4c: conf=0.833 resource/building dist auto approve,20,merge
21,STATE_21,21,Bouches-du-Rhône (Formerly Provence before Var split off),split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,21,split
22,Languedoc,22,Languedoc,split,,approve_selected,,Phase4c: conf=0.75 resource/building dist auto approve,22,split
23,STATE_23,23,STATE_23,merge,,approve_selected,,Phase4a: conf=0.875 owner/core conflict auto approve,23,merge
24,STATE_24,24,STATE_24,merge,,approve_selected,,Phase4b: conf=0.6 owner/core conflict auto approve,24,merge
25,STATE_25,25,STATE_25,merge,,approve_selected,,Phase4c: conf=0.923 resource/building dist auto approve,25,merge
26,STATE_26,26,Auveregne,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,26,split
27,STATE_27,27,Bourgogne,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,27,split
28,STATE_28,978,Baden,merge,,approve_selected,,Phase4b: conf=0.75 owner/core conflict auto approve,978,merge
29,STATE_29,29,STATE_29,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,29,split
30,STATE_30,30,STATE_30,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,30,split
31,STATE_31,31,STATE_31,merge,,approve_selected,,Phase4c: conf=0.909 resource/building dist auto approve,31,merge
32,STATE_32,32,STATE_32,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,32,split
33,STATE_33,33,STATE_33,merge,,approve_selected,,Phase4c: conf=0.778 resource/building dist auto approve,33,merge
34,STATE_34,34,STATE_34,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,34,split
35,STATE_35,35,STATE_35,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,35,split
36,STATE_36,36,STATE_36,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,36,split
37,STATE_37,37,STATE_37,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,37,same_id_same_area
38,STATE_38,918,Västerbotten,merge,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,918,merge
39,STATE_39,39,(South Tyrol) Alto Adige,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,39,split
40,Barnaul,40,Barnaul,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,40,same_id_same_area
41,STATE_41,41,STATE_41,split,,approve_selected,,Phase4c: conf=0.5 resource/building dist auto approve,41,split
42,STATE_42,42,STATE_42,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,42,split
43,Northern Hungary,43,Northern Hungary,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,43,split
44,STATE_44,44,STATE_44,split,,approve_selected,,Phase4b: conf=0.6 owner/core conflict auto approve,44,split
45,STATE_45,45,STATE_45,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,45,split
46,STATE_46,46,Muntenia,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,46,split
47,STATE_47,47,Thessaly,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,47,split
48,STATE_48,48,STATE_48,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,48,split
49,STATE_49,49,Ankara,split,,approve_selected,,Phase4c: conf=1.0 resource/building dist auto approve,49,split
50,STATE_50,50,Württemberg,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,50,split
51,STATE_51,51,STATE_51,split,,approve_selected,,Phase4c: conf=1.0 resource/building dist auto approve,51,split
52,STATE_52,52,STATE_52,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,52,split
53,STATE_53,53,STATE_53,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,53,split
54,STATE_54,54,STATE_54,merge,,approve_selected,,Phase4c: conf=0.875 resource/building dist auto approve,54,merge
55,STATE_55,55,STATE_55,split,,approve_selected,,Phase4c: conf=1.0 resource/building dist auto approve,55,split
56,STATE_56,56,STATE_56,merge,,approve_selected,,Phase4c: conf=0.857 resource/building dist auto approve,56,merge
57,STATE_57,57,STATE_57,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,57,split
58,STATE_58,58,STATE_58,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,58,split
59,STATE_59,58,STATE_58,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,58,split
60,STATE_60,60,STATE_60,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,60,split
61,STATE_61,61,STATE_61,merge,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,61,merge
62,STATE_62,62,STATE_62,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,62,split
63,STATE_63,63,STATE_63,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,63,split
64,STATE_64,,,new_bsr_state,,keep_bsr,,Phase1: new_bsr_state auto keep_bsr,,new_bsr_state
65,STATE_65,65,STATE_65,split,,approve_selected,,Phase4c: conf=1.0 resource/building dist auto approve,65,split
66,STATE_66,66,STATE_66,split,,approve_selected,,Phase4c: conf=0.667 resource/building dist auto approve,66,split
67,STATE_67,67,STATE_67,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,67,split
68,STATE_68,68,STATE_68,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,68,split
69,STATE_69,69,STATE_69,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,69,split
70,STATE_70,70,STATE_70,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,70,split
71,STATE_71,71,STATE_71,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,71,split
72,STATE_72,72,STATE_72,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,72,split
73,STATE_73,73,STATE_73,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,73,split
74,STATE_74,74,STATE_74,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,74,split
75,STATE_75,75,STATE_75,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,75,same_id_same_area
76,STATE_76,76,STATE_76,split,,approve_selected,,Phase4b: conf=0.75 owner/core conflict auto approve,76,split
77,STATE_77,77,STATE_77,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,77,same_id_same_area
78,STATE_78,78,STATE_78,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,78,split
79,STATE_79,79,STATE_79,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,79,split
80,STATE_80,80,STATE_80,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,80,same_id_same_area
82,STATE_82,82,STATE_82,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,82,same_id_same_area
83,STATE_83,83,STATE_83,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,83,same_id_same_area
85,STATE_85,85,STATE_85,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,85,same_id_same_area
86,STATE_86,86,STATE_86,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,86,split
87,STATE_87,87,STATE_87,split,,approve_selected,,Phase4b: conf=0.5 owner/core conflict auto approve,87,split
88,STATE_88,88,STATE_88,split,,approve_selected,,Phase5: low-conf auto approve (manual review recommended post-import),88,split
89,STATE_89,89,STATE_89,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,89,split
90,STATE_90,90,Kielce,merge,,approve_selected,,Phase4b: conf=0.714 owner/core conflict auto approve,90,merge
91,Lwow,91,Lwow,merge,,approve_selected,,Phase4b: conf=0.6 owner/core conflict auto approve,91,merge
92,STATE_92,92,STATE_92,merge,,approve_selected,,Phase4b: conf=0.5 owner/core conflict auto approve,92,merge
93,STATE_93,93,STATE_93,split,,approve_selected,,Phase4b: conf=0.667 owner/core conflict auto approve,93,split
94,STATE_94,94,STATE_94,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,94,split
95,STATE_95,95,STATE_95,merge,,approve_selected,,Phase4a: conf=0.8 owner/core conflict auto approve,95,merge
96,STATE_96,96,STATE_96,merge,,approve_selected,,Phase4b: conf=0.714 owner/core conflict auto approve,96,merge
97,STATE_97,97,STATE_97,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,97,split
98,STATE_98,98,STATE_98,split,,approve_selected,,Phase4b: conf=0.667 owner/core conflict auto approve,98,split
99,STATE_99,99,STATE_99,split,,approve_selected,,Phase4b: conf=0.667 owner/core conflict auto approve,99,split
100,STATE_100,100,STATE_100,split,,approve_selected,,Phase4c: conf=0.167 resource/building dist auto approve,100,split
101,STATE_101,101,STATE_101,split,,approve_selected,,Phase4a: conf=0.8 owner/core conflict auto approve,101,split
102,STATE_102,853,STATE_853,same_name,,approve_selected,,Phase2: conf=1.0 issues=1 auto approve,853,same_name
103,STATE_103,103,Dalmatia,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,103,split
104,STATE_104,104,STATE_104,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,104,split
105,STATE_105,105,STATE_105,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,105,split
106,STATE_106,106,STATE_106,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,106,split
107,STATE_107,107,STATE_107,merge,,approve_selected,,Phase4a: conf=0.875 owner/core conflict auto approve,107,merge
108,STATE_108,802,STATE_802,merge,,approve_selected,,Phase4b: conf=0.667 owner/core conflict auto approve,802,merge
109,STATE_109,109,Croatia,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,109,split
110,STATE_110,110,STATE_110,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,110,same_id_same_area
111,Uusimaa,111,UUSIMA,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,111,split
113,Leinster,113,Leinster,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,113,split
114,STATE_114,114,STATE_114,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,114,same_id_same_area
115,STATE_115,115,STATE_115,same_id_same_area,,approve_selected,,Phase4a: conf=0.9 owner/core conflict auto approve,115,same_id_same_area
116,STATE_116,116,STATE_116,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,116,same_id_same_area
117,STATE_117,117,Campania,merge,,approve_selected,,Phase4a: conf=0.833 owner/core conflict auto approve,117,merge
118,STATE_118,118,STATE_118,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,118,same_id_same_area
119,STATE_119,119,STATE_119,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,119,split
123,STATE_123,123,STATE_123,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,123,split
126,STATE_126,126,STATE_126,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,126,split
127,Sussex,127,Sussex,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,127,split
128,STATE_128,128,STATE_128,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,128,split
129,STATE_129,129,STATE_129,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,129,split
130,STATE_130,130,STATE_130,merge,,approve_selected,,Phase4c: conf=0.667 resource/building dist auto approve,130,merge
132,Lancashire,132,Lancashire,merge,,approve_selected,,Phase4c: conf=0.75 resource/building dist auto approve,132,merge
134,STATE_134,134,STATE_134,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,134,split
137,STATE_137,137,STATE_137,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,137,split
138,STATE_138,138,STATE_138,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,138,split
139,STATE_139,139,STATE_139,merge,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,139,merge
140,STATE_140,140,Västra Götaland,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,140,split
141,STATE_141,141,Svealand,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,141,split
142,STATE_142,142,STATE_142,merge,,approve_selected,,Phase4a: conf=0.895 owner/core conflict auto approve,142,merge
143,STATE_143,143,STATE_143,merge,,approve_selected,,Phase4a: conf=0.941 owner/core conflict auto approve,143,merge
144,STATE_144,925,STATE_925,merge,,approve_selected,,Phase4a: conf=0.882 owner/core conflict auto approve,925,merge
145,STATE_145,145,ÅLAND,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,145,same_id_same_area
146,STATE_146,146,KARJALA,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,146,split
147,STATE_147,147,SALLA,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,147,same_id_same_area
148,STATE_148,148,LAPPI,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,148,split
149,Pohjanmaa,149,VAASA,merge,,approve_selected,,Phase4b: conf=0.714 owner/core conflict auto approve,149,merge
150,Savo,150,KUOPIO,merge,,approve_selected,,Phase4b: conf=0.688 owner/core conflict auto approve,150,merge
151,STATE_151,151,STATE_151,merge,,approve_selected,,Phase4c: conf=0.5 resource/building dist auto approve,151,merge
152,STATE_152,152,STATE_152,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,152,split
153,STATE_153,153,STATE_153,merge,,approve_selected,,Phase4a: conf=0.8 owner/core conflict auto approve,153,merge
154,STATE_154,154,STATE_154,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,154,split
155,STATE_155,155,North Transdanubia,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,155,split
156,STATE_156,156,STATE_156,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,156,same_id_same_area
157,STATE_157,157,STATE_157,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,157,split
158,STATE_158,158,STATE_158,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,158,split
159,STATE_159,159,STATE_159,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,159,split
160,STATE_160,160,STATE_160,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,160,split
161,STATE_161,161,STATE_161,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,161,split
162,STATE_162,162,STATE_162,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,162,split
163,STATE_163,,,new_bsr_state,,keep_bsr,,Phase1: new_bsr_state auto keep_bsr,,new_bsr_state
164,STATE_164,164,STATE_164,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,164,same_id_same_area
166,STATE_166,166,STATE_166,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,166,split
168,STATE_168,168,STATE_168,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,168,split
169,STATE_169,169,STATE_169,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,169,same_id_same_area
170,STATE_170,170,STATE_170,split,,approve_selected,,Phase4c: conf=0.917 resource/building dist auto approve,170,split
171,STATE_171,171,STATE_171,merge,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,171,merge
173,STATE_173,173,STATE_173,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,173,same_id_same_area
176,STATE_176,176,STATE_176,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,176,split
177,STATE_177,177,STATE_177,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,177,split
179,STATE_179,179,STATE_179,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,179,split
180,STATE_180,180,STATE_180,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,180,split
182,STATE_182,182,STATE_182,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,182,split
183,STATE_183,183,STATE_183,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,183,split
184,STATE_184,184,STATE_184,merge,,approve_selected,,Phase5: low-conf auto approve (manual review recommended post-import),184,merge
185,STATE_185,185,STATE_185,merge,,approve_selected,,Phase4a: conf=0.8 owner/core conflict auto approve,185,merge
186,STATE_186,186,STATE_186,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,186,same_id_same_area
187,STATE_187,187,STATE_187,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,187,split
188,STATE_188,188,STATE_188,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,188,same_id_same_area
189,STATE_189,189,STATE_189,merge,,approve_selected,,Phase4b: conf=0.667 owner/core conflict auto approve,189,merge
190,STATE_190,190,STATE_190,merge,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,190,merge
191,STATE_191,191,STATE_191,merge,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,191,merge
192,STATE_192,192,STATE_192,merge,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,192,merge
193,STATE_193,193,Chernihiv,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,193,split
194,Mozyr,194,Mozyr,split,,approve_selected,,Phase4b: conf=0.714 owner/core conflict auto approve,194,split
195,STATE_195,195,STATE_195,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,195,same_id_same_area
196,STATE_196,196,STATE_196,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,196,split
197,STATE_197,197,STATE_197,merge,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,197,merge
198,STATE_198,198,STATE_198,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,198,split
199,STATE_199,199,STATE_199,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,199,split
200,Zaporozhe,200,Zaporozhe,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,200,same_id_same_area
201,STATE_201,201,STATE_201,merge,,approve_selected,,Phase4b: conf=0.75 owner/core conflict auto approve,201,merge
202,STATE_202,202,STATE_202,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,202,split
203,STATE_203,203,STATE_203,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,203,split
204,STATE_204,204,Bobruysk,merge,,approve_selected,,Phase4b: conf=0.5 owner/core conflict auto approve,204,merge
205,Kaluga,205,Kaluga,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,205,same_id_same_area
206,STATE_206,206,STATE_206,merge,,approve_selected,,Phase4b: conf=0.6 owner/core conflict auto approve,206,merge
207,STATE_207,207,STATE_207,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,207,split
208,STATE_208,208,Luga,same_id_same_area,,approve_selected,,Phase4a: conf=0.9 owner/core conflict auto approve,208,same_id_same_area
209,STATE_209,209,Pskov,same_id_same_area,,approve_selected,,Phase4a: conf=0.917 owner/core conflict auto approve,209,same_id_same_area
210,Nevel,210,Nevel,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,210,same_id_same_area
211,STATE_211,211,STATE_211,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,211,split
212,STATE_212,212,STATE_212,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,212,split
213,STATE_213,213,STATE_213,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,213,same_id_same_area
214,STATE_214,,,new_bsr_state,,keep_bsr,,Phase1: new_bsr_state auto keep_bsr,,new_bsr_state
215,STATE_215,215,STATE_215,split,,approve_selected,,Phase4b: conf=0.636 owner/core conflict auto approve,215,split
216,STATE_216,216,STATE_216,merge,,approve_selected,,Phase4a: conf=0.95 owner/core conflict auto approve,216,merge
217,STATE_217,217,STATE_217,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,217,same_id_same_area
218,STATE_218,218,STATE_218,same_name,,approve_selected,,Phase4b: conf=0.75 owner/core conflict auto approve,218,same_name
219,STATE_219,219,STATE_219,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,219,same_id_same_area
220,STATE_220,220,STATE_220,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,220,same_id_same_area
221,STATE_221,221,STATE_221,merge,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,221,merge
222,STATE_222,222,STATE_222,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,222,same_id_same_area
223,STATE_223,223,STATE_223,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,223,same_id_same_area
224,STATE_224,224,STATE_224,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,224,same_id_same_area
225,STATE_225,225,Sumy,merge,,approve_selected,,Phase4a: conf=0.909 owner/core conflict auto approve,225,merge
226,STATE_226,226,Dnipropertovsk,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,226,split
227,STATE_227,227,STATE_227,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,227,split
228,Voroshilovgrad,228,Voroshilovgrad,split,,approve_selected,,Phase4a: conf=0.889 owner/core conflict auto approve,228,split
229,STATE_229,229,STATE_229,split,,approve_selected,,Phase4a: conf=1.0 owner/core conflict auto approve,229,split
230,STATE_230,230,STATE_230,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,230,split
231,STATE_231,231,STATE_231,split,,approve_selected,,Phase3: conf=1.0 issues=3 auto approve,231,split
232,STATE_232,232,Dagestan,split,,approve_selected,,Phase5: low-conf auto approve (manual review recommended post-import),232,split
233,STATE_233,233,STATE_233,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=1 auto approve,233,same_id_same_area
234,STATE_234,234,STATE_234,same_id_same_area,,approve_selected,,Phase4a: conf=0.9 owner/core conflict auto approve,234,same_id_same_area
235,STATE_235,235,STATE_235,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,235,same_id_same_area
236,STATE_236,236,STATE_236,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,236,same_id_same_area
237,STATE_237,237,STATE_237,same_id_same_area,,approve_selected,,Phase4a: conf=0.909 owner/core conflict auto approve,237,same_id_same_area
238,STATE_238,238,STATE_238,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,238,same_id_same_area
239,STATE_239,239,STATE_239,same_id_same_area,,approve_selected,,Phase4a: conf=0.9 owner/core conflict auto approve,239,same_id_same_area
240,Belgorod,240,Belgorod,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,240,same_id_same_area
241,Gomel,241,Gomel,split,,approve_selected,,Phase2: conf=1.0 issues=2 auto approve,241,split
242,STATE_242,,,new_bsr_state,,keep_bsr,,Phase1: new_bsr_state auto keep_bsr,,new_bsr_state
243,STATE_243,243,STATE_243,same_name,,approve_selected,,Phase4b: conf=0.75 owner/core conflict auto approve,243,same_name
244,STATE_244,244,Volkhov,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,244,same_id_same_area
245,STATE_245,245,Millerovo,same_id_same_area,,approve_selected,,Phase4a: conf=0.917 owner/core conflict auto approve,245,same_id_same_area
246,STATE_246,246,STATE_246,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,246,same_id_same_area
247,STATE_247,247,STATE_247,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,247,same_id_same_area
248,STATE_248,248,STATE_248,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,248,same_id_same_area
249,STATE_249,249,STATE_249,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,249,same_id_same_area
250,STATE_250,250,STATE_250,same_id_same_area,,approve_selected,,Phase4a: conf=0.923 owner/core conflict auto approve,250,same_id_same_area
251,STATE_251,251,STATE_251,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,251,same_id_same_area
252,STATE_252,252,STATE_252,same_id_same_area,,approve_selected,,Phase4a: conf=0.973 owner/core conflict auto approve,252,same_id_same_area
253,STATE_253,253,STATE_253,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,253,same_id_same_area
254,STATE_254,254,STATE_254,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,254,same_id_same_area
255,STATE_255,255,STATE_255,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,255,same_id_same_area
256,STATE_256,833,STATE_833,same_name,,approve_selected,,Phase4a: conf=0.941 owner/core conflict auto approve,833,same_name
257,Tambov,257,Tambov,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,257,same_id_same_area
258,STATE_258,258,STATE_258,same_id_same_area,,approve_selected,,Phase2: conf=1.0 issues=0 auto approve,258,same_id_same_area
259,STATE_259,259,Poltava,merge,,approve_selected,,Phase4a: conf=0.9 owner/core conflict auto approve,259,merge
260,Voronezh,260,Voronezh,same_id_same_area,,approve_selected,,Phase4a: conf=0.95 owner/core conflict auto approve,260,same_id_same_area
261,STATE_261,261,STATE_261,split,,approve_selected,,Phase3: conf=1.0 issues=4 auto approve,261,split
262,STATE_262,,,new_bsr_state,,keep_bsr,,Phase1: new_bsr_state auto keep_bsr,,new_bsr_state
