tsr_state_id,tsr_state_name,bsr_state_id,bsr_state_name,mapping_type,confidence,notes,resources
27,Bourgogne,2044,STATE_2044,split,1.000,split; province_overlap=1; tsr_overlap_rank=7/8; bsr_source_count=1,	 	resources={ 		aluminium=11 # was: 18 	}
27,Bourgogne,2040,STATE_2040,split,1.000,split; province_overlap=1; tsr_overlap_rank=8/8; bsr_source_count=1,	 	resources={ 		aluminium=11 # was: 18 	}
28,Alsace-Lorraine,1436,STATE_1436,split,0.400,split; province_overlap=2; tsr_overlap_rank=1/7; bsr_source_count=1,	resources={ 		steel=42 #was 100 # was: 236 		coal = 5 # initial distribution / 140 total 	}
28,Alsace-Lorraine,1876,STATE_1876,split,1.000,split; province_overlap=1; tsr_overlap_rank=2/7; bsr_source_count=1,	resources={ 		steel=42 #was 100 # was: 236 		coal = 5 # initial distribution / 140 total 	}
28,Alsace-Lorraine,1183,STATE_1183,split,0.500,split; province_overlap=1; tsr_overlap_rank=3/7; bsr_source_count=1,	resources={ 		steel=42 #was 100 # was: 236 		coal = 5 # initial distribution / 140 total 	}
28,Alsace-Lorraine,814,STATE_814,merge,0.333,split+merge; province_overlap=1; tsr_overlap_rank=4/7; bsr_source_count=2,	resources={ 		steel=42 #was 100 # was: 236 		coal = 5 # initial distribution / 140 total 	}
28,Alsace-Lorraine,8,STATE_8,merge,0.333,split+merge; province_overlap=1; tsr_overlap_rank=5/7; bsr_source_count=2,	resources={ 		steel=42 #was 100 # was: 236 		coal = 5 # initial distribution / 140 total 	}
28,Alsace-Lorraine,1934,STATE_1934,split,1.000,split; province_overlap=1; tsr_overlap_rank=6/7; bsr_source_count=1,	resources={ 		steel=42 #was 100 # was: 236 		coal = 5 # initial distribution / 140 total 	}
28,Alsace-Lorraine,28,STATE_28,merge,0.250,split+merge; province_overlap=1; tsr_overlap_rank=7/7; bsr_source_count=2,	resources={ 		steel=42 #was 100 # was: 236 		coal = 5 # initial distribution / 140 total 	}
29,STATE_29,29,STATE_29,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/5; bsr_source_count=1,	resources={ 		steel=24 #was 42 was: 112 		aluminium=8 # was: 22 		coal = 30 # initial distribution / 140 total 	}
29,STATE_29,1839,STATE_1839,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1,	resources={ 		steel=24 #was 42 was: 112 		aluminium=8 # was: 22 		coal = 30 # initial distribution / 140 total 	}
29,STATE_29,1482,STATE_1482,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/5; bsr_source_count=1,	resources={ 		steel=24 #was 42 was: 112 		aluminium=8 # was: 22 		coal = 30 # initial distribution / 140 total 	}
29,STATE_29,1430,STATE_1430,split,1.000,split; province_overlap=1; tsr_overlap_rank=4/5; bsr_source_count=1,	resources={ 		steel=24 #was 42 was: 112 		aluminium=8 # was: 22 		coal = 30 # initial distribution / 140 total 	}
29,STATE_29,1089,STATE_1089,split,1.000,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1,	resources={ 		steel=24 #was 42 was: 112 		aluminium=8 # was: 22 		coal = 30 # initial distribution / 140 total 	}
32,STATE_32,32,STATE_32,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=1,	 	resources={ 		steel=16 #was:30 was: 56 		aluminium=30 # was: 58 	}
32,STATE_32,20,STATE_20,merge,0.167,split+merge; province_overlap=1; tsr_overlap_rank=2/3; bsr_source_count=2,	 	resources={ 		steel=16 #was:30 was: 56 		aluminium=30 # was: 58 	}
32,STATE_32,1801,STATE_1801,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=2,	 	resources={ 		steel=16 #was:30 was: 56 		aluminium=30 # was: 58 	}
34,STATE_34,1754,STATE_1754,split,0.667,split; province_overlap=2; tsr_overlap_rank=1/2; bsr_source_count=1,	resources={ 		steel=22 # was: 14 		coal = 5 # More added through focus BEL_revive_coal_mining 	}
34,STATE_34,34,STATE_34,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=1,	resources={ 		steel=22 # was: 14 		coal = 5 # More added through focus BEL_revive_coal_mining 	}
35,STATE_35,35,STATE_35,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/5; bsr_source_count=1, 	resources = { 		coal = 12 #initial distribution 	}
35,STATE_35,1060,STATE_1060,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1, 	resources = { 		coal = 12 #initial distribution 	}
35,STATE_35,1058,STATE_1058,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/5; bsr_source_count=1, 	resources = { 		coal = 12 #initial distribution 	}
35,STATE_35,1061,STATE_1061,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=4/5; bsr_source_count=2, 	resources = { 		coal = 12 #initial distribution 	}
35,STATE_35,1976,STATE_1976,split,1.000,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1, 	resources = { 		coal = 12 #initial distribution 	}
39,(South Tyrol) Alto Adige,39,STATE_39,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1,	 	resources = { 		aluminium = 14 # was: 22 	}
39,(South Tyrol) Alto Adige,867,STATE_867,merge,0.333,split+merge; province_overlap=1; tsr_overlap_rank=2/3; bsr_source_count=2,	 	resources = { 		aluminium = 14 # was: 22 	}
39,(South Tyrol) Alto Adige,1872,STATE_1872,merge,0.250,split+merge; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=2,	 	resources = { 		aluminium = 14 # was: 22 	}
41,STATE_41,1724,STATE_1724,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=1,	resources={ 		aluminium=1.000 	}
41,STATE_41,41,STATE_41,split,0.500,split; province_overlap=3; tsr_overlap_rank=2/3; bsr_source_count=1,	resources={ 		aluminium=1.000 	}
41,STATE_41,1716,STATE_1716,split,1.000,split; province_overlap=3; tsr_overlap_rank=3/3; bsr_source_count=1,	resources={ 		aluminium=1.000 	}
42,STATE_42,42,STATE_42,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/5; bsr_source_count=1,	resources = { 		steel = 50 #was 21 #was 35 was 59 # was: 100 		aluminium = 14 # was: 24 		coal = 14 # initial distirbution / 660 total 	}
42,STATE_42,789,STATE_789,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1,	resources = { 		steel = 50 #was 21 #was 35 was 59 # was: 100 		aluminium = 14 # was: 24 		coal = 14 # initial distirbution / 660 total 	}
42,STATE_42,1519,STATE_1519,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/5; bsr_source_count=1,	resources = { 		steel = 50 #was 21 #was 35 was 59 # was: 100 		aluminium = 14 # was: 24 		coal = 14 # initial distirbution / 660 total 	}
42,STATE_42,1350,STATE_1350,split,1.000,split; province_overlap=1; tsr_overlap_rank=4/5; bsr_source_count=1,	resources = { 		steel = 50 #was 21 #was 35 was 59 # was: 100 		aluminium = 14 # was: 24 		coal = 14 # initial distirbution / 660 total 	}
42,STATE_42,792,STATE_792,merge,0.333,split+merge; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=2,	resources = { 		steel = 50 #was 21 #was 35 was 59 # was: 100 		aluminium = 14 # was: 24 		coal = 14 # initial distirbution / 660 total 	}
43,Northern Hungary,1378,Northern Hungary,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=1,	resources = { 		steel = 6 #was 3 was: 4 		aluminium = 40 # was: 194 		coal = 4 #initial distribution 	}
43,Northern Hungary,43,Northern Hungary,split,1.000,split; province_overlap=4; tsr_overlap_rank=2/2; bsr_source_count=1,	resources = { 		steel = 6 #was 3 was: 4 		aluminium = 40 # was: 194 		coal = 4 #initial distribution 	}
44,STATE_44,44,STATE_44,split,0.600,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1,	resources = { 		aluminium = 1.000 		chromium = 1.000 		oil = 4.000 	}
44,STATE_44,1045,STATE_1045,merge,0.667,split+merge; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=2,	resources = { 		aluminium = 1.000 		chromium = 1.000 		oil = 4.000 	}
44,STATE_44,1510,STATE_1510,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1,	resources = { 		aluminium = 1.000 		chromium = 1.000 		oil = 4.000 	}
46,Muntenia,46,STATE_46,split,1.000,split; province_overlap=9; tsr_overlap_rank=1/3; bsr_source_count=1,	resources = { 		oil = 44 # was: 70 	}
46,Muntenia,833,STATE_833,merge,0.667,split+merge; province_overlap=4; tsr_overlap_rank=2/3; bsr_source_count=2,	resources = { 		oil = 44 # was: 70 	}
46,Muntenia,832,STATE_832,merge,0.250,split+merge; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=2,	resources = { 		oil = 44 # was: 70 	}
47,Thessaly,1453,STATE_1453,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/6; bsr_source_count=1,	resources={ 		steel=3 # was: 4 		chromium=12 # was: 22 		aluminium=30 # was: 58 		tungsten = 10 # was: 20 	}
47,Thessaly,1513,STATE_1513,split,0.667,split; province_overlap=2; tsr_overlap_rank=2/6; bsr_source_count=1,	resources={ 		steel=3 # was: 4 		chromium=12 # was: 22 		aluminium=30 # was: 58 		tungsten = 10 # was: 20 	}
47,Thessaly,47,STATE_47,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/6; bsr_source_count=1,	resources={ 		steel=3 # was: 4 		chromium=12 # was: 22 		aluminium=30 # was: 58 		tungsten = 10 # was: 20 	}
47,Thessaly,1601,STATE_1601,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=4/6; bsr_source_count=2,	resources={ 		steel=3 # was: 4 		chromium=12 # was: 22 		aluminium=30 # was: 58 		tungsten = 10 # was: 20 	}
47,Thessaly,185,STATE_185,merge,0.200,split+merge; province_overlap=1; tsr_overlap_rank=5/6; bsr_source_count=2,	resources={ 		steel=3 # was: 4 		chromium=12 # was: 22 		aluminium=30 # was: 58 		tungsten = 10 # was: 20 	}
47,Thessaly,978,STATE_978,split,1.000,split; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=1,	resources={ 		steel=3 # was: 4 		chromium=12 # was: 22 		aluminium=30 # was: 58 		tungsten = 10 # was: 20 	}
48,STATE_48,48,STATE_48,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/3; bsr_source_count=1,	resources={ 		aluminium = 2 		coal = 1 #initial distribution 	}
48,STATE_48,1103,STATE_1103,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1,	resources={ 		aluminium = 2 		coal = 1 #initial distribution 	}
48,STATE_48,1179,STATE_1179,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1,	resources={ 		aluminium = 2 		coal = 1 #initial distribution 	}
49,Ankara,49,STATE_49,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/4; bsr_source_count=1,	resources={ 		chromium=11 # was: 16 		steel = 28 	}
49,Ankara,953,STATE_953,split,1.000,split; province_overlap=4; tsr_overlap_rank=2/4; bsr_source_count=1,	resources={ 		chromium=11 # was: 16 		steel = 28 	}
49,Ankara,956,STATE_956,merge,0.143,split+merge; province_overlap=1; tsr_overlap_rank=3/4; bsr_source_count=4,	resources={ 		chromium=11 # was: 16 		steel = 28 	}
49,Ankara,1663,STATE_1663,merge,0.200,split+merge; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=3,	resources={ 		chromium=11 # was: 16 		steel = 28 	}
50,Württemberg,1764,STATE_1764,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/6; bsr_source_count=1, 	resources = { 		aluminium = 6 # was: 10.000 	}
50,Württemberg,50,STATE_50,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/6; bsr_source_count=1, 	resources = { 		aluminium = 6 # was: 10.000 	}
50,Württemberg,1447,STATE_1447,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/6; bsr_source_count=1, 	resources = { 		aluminium = 6 # was: 10.000 	}
50,Württemberg,1954,STATE_1954,split,0.500,split; province_overlap=1; tsr_overlap_rank=4/6; bsr_source_count=1, 	resources = { 		aluminium = 6 # was: 10.000 	}
50,Württemberg,1415,STATE_1415,split,1.000,split; province_overlap=1; tsr_overlap_rank=5/6; bsr_source_count=1, 	resources = { 		aluminium = 6 # was: 10.000 	}
50,Württemberg,799,STATE_799,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=2, 	resources = { 		aluminium = 6 # was: 10.000 	}
51,STATE_51,1335,STATE_1335,split,0.800,split; province_overlap=4; tsr_overlap_rank=1/5; bsr_source_count=1,	resources = { 		steel = 35  #was 18 #was 30 was: 54 		coal = 60 # initial distribution / 660 total 	}
51,STATE_51,788,STATE_788,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1,	resources = { 		steel = 35  #was 18 #was 30 was: 54 		coal = 60 # initial distribution / 660 total 	}
51,STATE_51,1062,STATE_1062,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/5; bsr_source_count=1,	resources = { 		steel = 35  #was 18 #was 30 was: 54 		coal = 60 # initial distribution / 660 total 	}
51,STATE_51,1334,STATE_1334,split,1.000,split; province_overlap=1; tsr_overlap_rank=4/5; bsr_source_count=1,	resources = { 		steel = 35  #was 18 #was 30 was: 54 		coal = 60 # initial distribution / 660 total 	}
51,STATE_51,51,STATE_51,split,1.000,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1,	resources = { 		steel = 35  #was 18 #was 30 was: 54 		coal = 60 # initial distribution / 660 total 	}
52,STATE_52,52,STATE_52,split,1.000,split; province_overlap=9; tsr_overlap_rank=1/4; bsr_source_count=1,	resources = { 		aluminium = 18 # was: 30 	}
52,STATE_52,1472,STATE_1472,split,1.000,split; province_overlap=1; tsr_overlap_rank=2/4; bsr_source_count=1,	resources = { 		aluminium = 18 # was: 30 	}
52,STATE_52,798,STATE_798,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/4; bsr_source_count=1,	resources = { 		aluminium = 18 # was: 30 	}
52,STATE_52,54,STATE_54,merge,0.125,split+merge; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=2,	resources = { 		aluminium = 18 # was: 30 	}
54,STATE_54,54,STATE_54,merge,0.875,split+merge; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=2, 	resources = {  		coal = 8 #initial distribution 	}
54,STATE_54,1866,STATE_1866,split,1.000,split; province_overlap=4; tsr_overlap_rank=2/3; bsr_source_count=1, 	resources = {  		coal = 8 #initial distribution 	}
54,STATE_54,1964,STATE_1964,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1, 	resources = {  		coal = 8 #initial distribution 	}
55,STATE_55,55,STATE_55,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/6; bsr_source_count=1, 	resources = { 		coal = 8 # initial distribution 	}
55,STATE_55,1432,STATE_1432,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/6; bsr_source_count=1, 	resources = { 		coal = 8 # initial distribution 	}
55,STATE_55,790,STATE_790,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/6; bsr_source_count=1, 	resources = { 		coal = 8 # initial distribution 	}
55,STATE_55,792,STATE_792,merge,0.333,split+merge; province_overlap=1; tsr_overlap_rank=4/6; bsr_source_count=2, 	resources = { 		coal = 8 # initial distribution 	}
55,STATE_55,1767,STATE_1767,split,1.000,split; province_overlap=1; tsr_overlap_rank=5/6; bsr_source_count=1, 	resources = { 		coal = 8 # initial distribution 	}
55,STATE_55,791,STATE_791,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=2, 	resources = { 		coal = 8 # initial distribution 	}
59,STATE_59,1473,STATE_1473,split,1.000,split; province_overlap=11; tsr_overlap_rank=1/4; bsr_source_count=1,	resources = { 		oil = 2 # was: 4 	}
59,STATE_59,1805,STATE_1805,split,1.000,split; province_overlap=4; tsr_overlap_rank=2/4; bsr_source_count=1,	resources = { 		oil = 2 # was: 4 	}
59,STATE_59,793,STATE_793,merge,0.333,split+merge; province_overlap=2; tsr_overlap_rank=3/4; bsr_source_count=2,	resources = { 		oil = 2 # was: 4 	}
59,STATE_59,1878,STATE_1878,merge,0.500,split+merge; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=2,	resources = { 		oil = 2 # was: 4 	}
60,STATE_60,60,STATE_60,split,1.000,split; province_overlap=6; tsr_overlap_rank=1/2; bsr_source_count=1,	resources = { 		steel = 9 # was 5 was: 13 was: 20 		chromium = 3 # was: 4 		tungsten = 3 # was: 4 		coal = 8 #initial distribution 	}
60,STATE_60,1823,STATE_1823,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/2; bsr_source_count=1,	resources = { 		steel = 9 # was 5 was: 13 was: 20 		chromium = 3 # was: 4 		tungsten = 3 # was: 4 		coal = 8 #initial distribution 	}
63,STATE_63,63,STATE_63,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/9; bsr_source_count=1,	resources = { 		steel = 7 #was 8  #was 16 was: 23 # was: 36 		aluminium = 6 # was: 8 was: 12 	}
63,STATE_63,1333,STATE_1333,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/9; bsr_source_count=1,	resources = { 		steel = 7 #was 8  #was 16 was: 23 # was: 36 		aluminium = 6 # was: 8 was: 12 	}
63,STATE_63,1701,STATE_1701,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/9; bsr_source_count=1,	resources = { 		steel = 7 #was 8  #was 16 was: 23 # was: 36 		aluminium = 6 # was: 8 was: 12 	}
63,STATE_63,1508,STATE_1508,split,1.000,split; province_overlap=2; tsr_overlap_rank=4/9; bsr_source_count=1,	resources = { 		steel = 7 #was 8  #was 16 was: 23 # was: 36 		aluminium = 6 # was: 8 was: 12 	}
63,STATE_63,1112,STATE_1112,split,1.000,split; province_overlap=2; tsr_overlap_rank=5/9; bsr_source_count=1,	resources = { 		steel = 7 #was 8  #was 16 was: 23 # was: 36 		aluminium = 6 # was: 8 was: 12 	}
63,STATE_63,1655,STATE_1655,split,1.000,split; province_overlap=1; tsr_overlap_rank=6/9; bsr_source_count=1,	resources = { 		steel = 7 #was 8  #was 16 was: 23 # was: 36 		aluminium = 6 # was: 8 was: 12 	}
63,STATE_63,797,STATE_797,split,1.000,split; province_overlap=1; tsr_overlap_rank=7/9; bsr_source_count=1,	resources = { 		steel = 7 #was 8  #was 16 was: 23 # was: 36 		aluminium = 6 # was: 8 was: 12 	}
63,STATE_63,2014,STATE_2014,split,1.000,split; province_overlap=1; tsr_overlap_rank=8/9; bsr_source_count=1,	resources = { 		steel = 7 #was 8  #was 16 was: 23 # was: 36 		aluminium = 6 # was: 8 was: 12 	}
63,STATE_63,1700,STATE_1700,split,1.000,split; province_overlap=1; tsr_overlap_rank=9/9; bsr_source_count=1,	resources = { 		steel = 7 #was 8  #was 16 was: 23 # was: 36 		aluminium = 6 # was: 8 was: 12 	}
65,STATE_65,795,STATE_795,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/6; bsr_source_count=1,	resources = { 		steel = 41 #was 12 was 32 #was 53 # was: 90 		coal = 13 # initial distribution 	}
