bsr_state_id,bsr_state_name,selected_tsr_state_id,selected_tsr_state_name,selected_mapping_type,selected_confidence,alternative_mapping_count,selection_notes
27,STATE_27,27,Bourgogne,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/8; bsr_source_count=1
28,STATE_28,978,Baden,merge,0.750,2,split+merge; province_overlap=3; tsr_overlap_rank=1/4; bsr_source_count=2
29,STATE_29,29,STATE_29,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/5; bsr_source_count=1
30,STATE_30,30,STATE_30,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=3/4; bsr_source_count=1
31,STATE_31,31,STATE_31,merge,0.909,2,split+merge; province_overlap=10; tsr_overlap_rank=1/7; bsr_source_count=2
32,STATE_32,32,STATE_32,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=1
33,STATE_33,33,STATE_33,merge,0.778,2,split+merge; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=2
34,STATE_34,34,STATE_34,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=1
35,STATE_35,35,STATE_35,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/5; bsr_source_count=1
36,STATE_36,36,STATE_36,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=4/5; bsr_source_count=1
37,STATE_37,37,STATE_37,same_id_same_area,1.000,1,province_overlap=4
38,STATE_38,918,Västerbotten,merge,1.000,2,merge; province_overlap=34; bsr_source_count=2
39,STATE_39,39,(South Tyrol) Alto Adige,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1
40,Barnaul,40,Barnaul,same_id_same_area,1.000,1,province_overlap=12
41,STATE_41,41,STATE_41,split,0.500,1,split; province_overlap=3; tsr_overlap_rank=2/3; bsr_source_count=1
42,STATE_42,42,STATE_42,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/5; bsr_source_count=1
43,Northern Hungary,43,Northern Hungary,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=2/2; bsr_source_count=1
44,STATE_44,44,STATE_44,split,0.600,3,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1
45,STATE_45,45,STATE_45,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=1
46,STATE_46,46,Muntenia,split,1.000,1,split; province_overlap=9; tsr_overlap_rank=1/3; bsr_source_count=1
47,STATE_47,47,Thessaly,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=3/6; bsr_source_count=1
48,STATE_48,48,STATE_48,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/3; bsr_source_count=1
49,STATE_49,49,Ankara,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/4; bsr_source_count=1
50,STATE_50,50,Württemberg,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=2/6; bsr_source_count=1
51,STATE_51,51,STATE_51,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1
52,STATE_52,52,STATE_52,split,1.000,1,split; province_overlap=9; tsr_overlap_rank=1/4; bsr_source_count=1
53,STATE_53,53,STATE_53,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1
54,STATE_54,54,STATE_54,merge,0.875,2,split+merge; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=2
55,STATE_55,55,STATE_55,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/6; bsr_source_count=1
56,STATE_56,56,STATE_56,merge,0.857,2,split+merge; province_overlap=6; tsr_overlap_rank=1/3; bsr_source_count=2
57,STATE_57,57,STATE_57,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=1
58,STATE_58,58,STATE_58,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1
59,STATE_59,58,STATE_58,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1
60,STATE_60,60,STATE_60,split,1.000,1,split; province_overlap=6; tsr_overlap_rank=1/2; bsr_source_count=1
61,STATE_61,61,STATE_61,merge,1.000,2,merge; province_overlap=6; bsr_source_count=2
62,STATE_62,62,STATE_62,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
63,STATE_63,63,STATE_63,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/9; bsr_source_count=1
64,STATE_64,,,new_bsr_state,1.000,1,no TSR overlay candidate
65,STATE_65,65,STATE_65,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/6; bsr_source_count=1
66,STATE_66,66,STATE_66,split,0.667,1,split; province_overlap=2; tsr_overlap_rank=2/7; bsr_source_count=1
67,STATE_67,67,STATE_67,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1
68,STATE_68,68,STATE_68,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/6; bsr_source_count=1
69,STATE_69,69,STATE_69,split,1.000,1,split; province_overlap=6; tsr_overlap_rank=1/2; bsr_source_count=1
70,STATE_70,70,STATE_70,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1
71,STATE_71,71,STATE_71,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=2/3; bsr_source_count=1
72,STATE_72,72,STATE_72,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=1/2; bsr_source_count=1
73,STATE_73,73,STATE_73,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
74,STATE_74,74,STATE_74,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1
75,STATE_75,75,STATE_75,same_id_same_area,1.000,1,province_overlap=7
76,STATE_76,76,STATE_76,split,0.750,3,split; province_overlap=6; tsr_overlap_rank=2/2; bsr_source_count=1
77,STATE_77,77,STATE_77,same_id_same_area,1.000,1,province_overlap=2
78,STATE_78,78,STATE_78,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=1
79,STATE_79,79,STATE_79,split,1.000,1,split; province_overlap=12; tsr_overlap_rank=1/3; bsr_source_count=1
80,STATE_80,80,STATE_80,same_id_same_area,1.000,1,province_overlap=2
81,STATE_81,81,STATE_81,same_id_same_area,1.000,1,province_overlap=8
82,STATE_82,82,STATE_82,same_id_same_area,1.000,1,province_overlap=6
83,STATE_83,83,STATE_83,same_id_same_area,1.000,1,province_overlap=4
84,STATE_84,84,STATE_84,same_id_same_area,1.000,1,province_overlap=11
85,STATE_85,85,STATE_85,same_id_same_area,1.000,1,province_overlap=1
86,STATE_86,86,STATE_86,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/6; bsr_source_count=1
87,STATE_87,87,STATE_87,split,0.500,1,split; province_overlap=1; tsr_overlap_rank=2/4; bsr_source_count=1
88,STATE_88,88,STATE_88,split,0.250,2,split; province_overlap=1; tsr_overlap_rank=4/9; bsr_source_count=1
89,STATE_89,89,STATE_89,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=1
90,STATE_90,90,Kielce,merge,0.714,2,split+merge; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=2
91,Lwow,91,Lwow,merge,0.600,2,split+merge; province_overlap=3; tsr_overlap_rank=2/5; bsr_source_count=2
92,STATE_92,92,STATE_92,merge,0.500,2,split+merge; province_overlap=3; tsr_overlap_rank=1/4; bsr_source_count=2
93,STATE_93,93,STATE_93,split,0.667,1,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1
94,STATE_94,94,STATE_94,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/9; bsr_source_count=1
95,STATE_95,95,STATE_95,merge,0.800,2,split+merge; province_overlap=4; tsr_overlap_rank=1/6; bsr_source_count=2
96,STATE_96,96,STATE_96,merge,0.714,2,split+merge; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=2
97,STATE_97,97,STATE_97,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/6; bsr_source_count=1
98,STATE_98,98,STATE_98,split,0.667,2,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1
99,STATE_99,99,STATE_99,split,0.667,1,split; province_overlap=2; tsr_overlap_rank=3/3; bsr_source_count=1
100,STATE_100,100,STATE_100,split,0.167,1,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
101,STATE_101,101,STATE_101,split,0.800,2,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
102,STATE_102,853,STATE_853,same_name,1.000,1,province_overlap=2
103,STATE_103,103,Dalmatia,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
104,STATE_104,104,STATE_104,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=2/8; bsr_source_count=1
105,STATE_105,105,STATE_105,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1
106,STATE_106,106,STATE_106,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=1
107,STATE_107,107,STATE_107,merge,0.875,2,split+merge; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=2
108,STATE_108,802,STATE_802,merge,0.667,2,split+merge; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=2
109,STATE_109,109,Croatia,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/4; bsr_source_count=1
110,STATE_110,110,STATE_110,same_id_same_area,1.000,1,province_overlap=8
111,Uusimaa,111,UUSIMA,split,1.000,1,split; province_overlap=6; tsr_overlap_rank=1/3; bsr_source_count=1
112,STATE_112,112,STATE_112,same_id_same_area,1.000,1,province_overlap=5
113,Leinster,113,Leinster,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1
114,STATE_114,114,STATE_114,same_id_same_area,1.000,1,province_overlap=8
115,STATE_115,115,STATE_115,same_id_same_area,0.900,1,province_overlap=9
116,STATE_116,116,STATE_116,same_id_same_area,1.000,1,province_overlap=1
117,STATE_117,117,Campania,merge,0.833,2,split+merge; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=2
118,STATE_118,118,STATE_118,same_id_same_area,1.000,1,province_overlap=1
119,STATE_119,119,STATE_119,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
120,STATE_120,120,STATE_120,same_id_same_area,1.000,1,province_overlap=14
121,Lothian,121,Lothian,same_id_same_area,1.000,1,province_overlap=6
122,STATE_122,122,STATE_122,same_id_same_area,1.000,1,province_overlap=8
123,STATE_123,123,STATE_123,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=3/3; bsr_source_count=1
124,STATE_124,124,STATE_124,same_id_same_area,1.000,1,province_overlap=2
125,STATE_125,125,STATE_125,same_id_same_area,1.000,1,province_overlap=7
126,STATE_126,126,STATE_126,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1
127,Sussex,127,Sussex,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=1
128,STATE_128,128,STATE_128,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=2/3; bsr_source_count=1
129,STATE_129,129,STATE_129,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
130,STATE_130,130,STATE_130,merge,0.667,2,split+merge; province_overlap=6; tsr_overlap_rank=1/2; bsr_source_count=2
131,STATE_131,131,STATE_131,same_id_same_area,1.000,1,province_overlap=3
132,Lancashire,132,Lancashire,merge,0.750,2,split+merge; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=2
133,Lanark,133,Lanark,same_id_same_area,1.000,1,province_overlap=8
134,STATE_134,134,STATE_134,split,1.000,1,split; province_overlap=8; tsr_overlap_rank=1/2; bsr_source_count=1
135,STATE_135,135,STATE_135,same_id_same_area,1.000,1,province_overlap=10
136,STATE_136,136,STATE_136,same_id_same_area,1.000,1,province_overlap=7
137,STATE_137,137,STATE_137,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=2/3; bsr_source_count=1
138,STATE_138,138,STATE_138,split,1.000,1,split; province_overlap=9; tsr_overlap_rank=1/2; bsr_source_count=1
139,STATE_139,139,STATE_139,merge,1.000,1,merge; province_overlap=13; bsr_source_count=2
140,STATE_140,140,Västra Götaland,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1
141,STATE_141,141,Svealand,split,1.000,1,split; province_overlap=12; tsr_overlap_rank=1/2; bsr_source_count=1
142,STATE_142,142,STATE_142,merge,0.895,2,split+merge; province_overlap=17; tsr_overlap_rank=1/3; bsr_source_count=2
143,STATE_143,143,STATE_143,merge,0.941,3,split+merge; province_overlap=16; tsr_overlap_rank=1/2; bsr_source_count=3
144,STATE_144,925,STATE_925,merge,0.882,2,split+merge; province_overlap=15; tsr_overlap_rank=1/2; bsr_source_count=2
145,STATE_145,145,ÅLAND,same_id_same_area,1.000,1,province_overlap=1
146,STATE_146,146,KARJALA,split,1.000,1,split; province_overlap=9; tsr_overlap_rank=1/4; bsr_source_count=1
147,STATE_147,147,SALLA,same_id_same_area,1.000,1,province_overlap=3
148,STATE_148,148,LAPPI,split,1.000,1,split; province_overlap=15; tsr_overlap_rank=1/3; bsr_source_count=1
149,Pohjanmaa,149,VAASA,merge,0.714,3,split+merge; province_overlap=10; tsr_overlap_rank=1/4; bsr_source_count=3
150,Savo,150,KUOPIO,merge,0.688,3,split+merge; province_overlap=11; tsr_overlap_rank=2/5; bsr_source_count=3
151,STATE_151,151,STATE_151,merge,0.500,2,split+merge; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=2
152,STATE_152,152,STATE_152,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/4; bsr_source_count=1
153,STATE_153,153,STATE_153,merge,0.800,2,split+merge; province_overlap=4; tsr_overlap_rank=1/4; bsr_source_count=2
154,STATE_154,154,STATE_154,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1
155,STATE_155,155,North Transdanubia,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=1
156,STATE_156,156,STATE_156,same_id_same_area,1.000,1,province_overlap=5
157,STATE_157,157,STATE_157,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=3/5; bsr_source_count=1
158,STATE_158,158,STATE_158,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=2/6; bsr_source_count=1
159,STATE_159,159,STATE_159,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/4; bsr_source_count=1
160,STATE_160,160,STATE_160,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=1
161,STATE_161,161,STATE_161,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/4; bsr_source_count=1
162,STATE_162,162,STATE_162,split,1.000,1,split; province_overlap=8; tsr_overlap_rank=1/3; bsr_source_count=1
163,STATE_163,,,new_bsr_state,1.000,1,no TSR overlay candidate
164,STATE_164,164,STATE_164,same_id_same_area,1.000,1,province_overlap=2
165,STATE_165,165,STATE_165,same_id_same_area,1.000,1,province_overlap=14
166,STATE_166,166,STATE_166,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1
167,STATE_167,167,STATE_167,same_id_same_area,1.000,1,province_overlap=10
168,STATE_168,168,STATE_168,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=2/2; bsr_source_count=1
169,STATE_169,169,STATE_169,same_id_same_area,1.000,1,province_overlap=14
170,STATE_170,170,STATE_170,split,0.917,1,split; province_overlap=11; tsr_overlap_rank=1/3; bsr_source_count=1
171,STATE_171,171,STATE_171,merge,1.000,2,merge; province_overlap=13; bsr_source_count=2
172,STATE_172,172,STATE_172,same_id_same_area,1.000,1,province_overlap=5
173,STATE_173,173,STATE_173,same_id_same_area,1.000,1,province_overlap=11
174,STATE_174,174,STATE_174,same_id_same_area,1.000,1,province_overlap=13
175,STATE_175,175,STATE_175,same_id_same_area,1.000,1,province_overlap=10
176,STATE_176,176,STATE_176,split,1.000,1,split; province_overlap=9; tsr_overlap_rank=1/2; bsr_source_count=1
177,STATE_177,177,STATE_177,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/2; bsr_source_count=1
178,STATE_178,178,STATE_178,same_id_same_area,1.000,1,province_overlap=1
179,STATE_179,179,STATE_179,split,1.000,1,split; province_overlap=6; tsr_overlap_rank=1/3; bsr_source_count=1
180,STATE_180,180,STATE_180,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=1
181,STATE_181,181,STATE_181,same_id_same_area,1.000,1,province_overlap=8
182,STATE_182,182,STATE_182,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1
183,STATE_183,183,STATE_183,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
184,STATE_184,184,STATE_184,merge,0.333,2,split+merge; province_overlap=1; tsr_overlap_rank=3/4; bsr_source_count=2
185,STATE_185,185,STATE_185,merge,0.800,2,split+merge; province_overlap=4; tsr_overlap_rank=1/7; bsr_source_count=2
186,STATE_186,186,STATE_186,same_id_same_area,1.000,1,province_overlap=7
187,STATE_187,187,STATE_187,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=1/3; bsr_source_count=1
188,STATE_188,188,STATE_188,same_id_same_area,1.000,1,province_overlap=1
189,STATE_189,189,STATE_189,merge,0.667,2,split+merge; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=2
190,STATE_190,190,STATE_190,merge,1.000,2,merge; province_overlap=6; bsr_source_count=2
191,STATE_191,191,STATE_191,merge,1.000,3,merge; province_overlap=5; bsr_source_count=3
192,STATE_192,192,STATE_192,merge,1.000,2,merge; province_overlap=6; bsr_source_count=2
193,STATE_193,193,Chernihiv,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/5; bsr_source_count=1
194,Mozyr,194,Mozyr,split,0.714,3,split; province_overlap=5; tsr_overlap_rank=1/3; bsr_source_count=1
195,STATE_195,195,STATE_195,same_id_same_area,1.000,1,province_overlap=2
196,STATE_196,196,STATE_196,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1
197,STATE_197,197,STATE_197,merge,1.000,2,merge; province_overlap=8; bsr_source_count=2
198,STATE_198,198,STATE_198,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
199,STATE_199,199,STATE_199,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=3/4; bsr_source_count=1
200,Zaporozhe,200,Zaporozhe,same_id_same_area,1.000,1,province_overlap=9
201,STATE_201,201,STATE_201,merge,0.750,2,split+merge; province_overlap=9; tsr_overlap_rank=1/2; bsr_source_count=2
202,STATE_202,202,STATE_202,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=3/5; bsr_source_count=1
203,STATE_203,203,STATE_203,split,1.000,1,split; province_overlap=10; tsr_overlap_rank=1/3; bsr_source_count=1
204,STATE_204,204,Bobruysk,merge,0.500,2,split+merge; province_overlap=4; tsr_overlap_rank=1/4; bsr_source_count=2
205,Kaluga,205,Kaluga,same_id_same_area,1.000,1,province_overlap=16
206,STATE_206,206,STATE_206,merge,0.600,2,split+merge; province_overlap=3; tsr_overlap_rank=1/4; bsr_source_count=2
207,STATE_207,207,STATE_207,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/6; bsr_source_count=1
208,STATE_208,208,Luga,same_id_same_area,0.900,2,province_overlap=8
209,STATE_209,209,Pskov,same_id_same_area,0.917,2,province_overlap=11
210,Nevel,210,Nevel,same_id_same_area,1.000,1,province_overlap=7
211,STATE_211,211,STATE_211,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
212,STATE_212,212,STATE_212,split,1.000,1,split; province_overlap=6; tsr_overlap_rank=1/4; bsr_source_count=1
213,STATE_213,213,STATE_213,same_id_same_area,1.000,1,province_overlap=20
214,STATE_214,,,new_bsr_state,1.000,4,no TSR overlay candidate
215,STATE_215,215,STATE_215,split,0.636,2,split; province_overlap=7; tsr_overlap_rank=3/5; bsr_source_count=1
216,STATE_216,216,STATE_216,merge,0.950,2,merge; province_overlap=19; bsr_source_count=2
217,STATE_217,217,STATE_217,same_id_same_area,1.000,1,province_overlap=5
218,STATE_218,218,STATE_218,same_name,0.750,2,province_overlap=6
219,STATE_219,219,STATE_219,same_id_same_area,1.000,2,province_overlap=25
220,STATE_220,220,STATE_220,same_id_same_area,1.000,1,province_overlap=14
221,STATE_221,221,STATE_221,merge,1.000,2,merge; province_overlap=11; bsr_source_count=2
222,STATE_222,222,STATE_222,same_id_same_area,1.000,1,province_overlap=13
223,STATE_223,223,STATE_223,same_id_same_area,1.000,1,province_overlap=14
224,STATE_224,224,STATE_224,same_id_same_area,1.000,1,province_overlap=10
225,STATE_225,225,Sumy,merge,0.909,2,split+merge; province_overlap=10; tsr_overlap_rank=1/2; bsr_source_count=2
226,STATE_226,226,Dnipropertovsk,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1
227,STATE_227,227,STATE_227,split,1.000,1,split; province_overlap=8; tsr_overlap_rank=1/2; bsr_source_count=1
228,Voroshilovgrad,228,Voroshilovgrad,split,0.889,1,split; province_overlap=8; tsr_overlap_rank=1/3; bsr_source_count=1
229,STATE_229,229,STATE_229,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/6; bsr_source_count=1
230,STATE_230,230,STATE_230,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/4; bsr_source_count=1
231,STATE_231,231,STATE_231,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=3/7; bsr_source_count=1
232,STATE_232,232,Dagestan,split,0.400,2,split; province_overlap=2; tsr_overlap_rank=4/5; bsr_source_count=1
233,STATE_233,233,STATE_233,same_id_same_area,1.000,1,province_overlap=4
234,STATE_234,234,STATE_234,same_id_same_area,0.900,2,province_overlap=13
235,STATE_235,235,STATE_235,same_id_same_area,1.000,2,province_overlap=21
236,STATE_236,236,STATE_236,same_id_same_area,1.000,1,province_overlap=11
237,STATE_237,237,STATE_237,same_id_same_area,0.909,2,province_overlap=20
238,STATE_238,238,STATE_238,same_id_same_area,1.000,3,province_overlap=17
239,STATE_239,239,STATE_239,same_id_same_area,0.900,2,province_overlap=19
240,Belgorod,240,Belgorod,same_id_same_area,1.000,1,province_overlap=12
241,Gomel,241,Gomel,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=2/3; bsr_source_count=1
242,STATE_242,,,new_bsr_state,1.000,2,no TSR overlay candidate
243,STATE_243,243,STATE_243,same_name,0.750,2,province_overlap=4
244,STATE_244,244,Volkhov,same_id_same_area,1.000,1,province_overlap=7
245,STATE_245,245,Millerovo,same_id_same_area,0.917,2,province_overlap=11
246,STATE_246,246,STATE_246,same_id_same_area,1.000,1,province_overlap=20
247,STATE_247,247,STATE_247,same_id_same_area,1.000,1,province_overlap=17
248,STATE_248,248,STATE_248,same_id_same_area,1.000,1,province_overlap=23
249,STATE_249,249,STATE_249,same_id_same_area,1.000,1,province_overlap=25
250,STATE_250,250,STATE_250,same_id_same_area,0.923,2,province_overlap=12
251,STATE_251,251,STATE_251,same_id_same_area,1.000,1,province_overlap=18
252,STATE_252,252,STATE_252,same_id_same_area,0.973,3,province_overlap=36
253,STATE_253,253,STATE_253,same_id_same_area,1.000,1,province_overlap=31
254,STATE_254,254,STATE_254,same_id_same_area,1.000,1,province_overlap=24
255,STATE_255,255,STATE_255,same_id_same_area,1.000,2,province_overlap=32
256,STATE_256,833,STATE_833,same_name,0.941,5,province_overlap=16
257,Tambov,257,Tambov,same_id_same_area,1.000,1,province_overlap=19
258,STATE_258,258,STATE_258,same_id_same_area,1.000,1,province_overlap=12
259,STATE_259,259,Poltava,merge,0.900,3,split+merge; province_overlap=9; tsr_overlap_rank=1/2; bsr_source_count=3
260,Voronezh,260,Voronezh,same_id_same_area,0.950,1,province_overlap=19
261,STATE_261,261,STATE_261,split,1.000,1,split; province_overlap=21; tsr_overlap_rank=1/2; bsr_source_count=1
262,STATE_262,,,new_bsr_state,1.000,2,no TSR overlay candidate
263,STATE_263,263,STATE_263,same_name,0.750,3,province_overlap=6
264,STATE_264,264,STATE_264,same_id_same_area,1.000,1,province_overlap=27
265,STATE_265,265,STATE_265,same_id_same_area,0.900,2,province_overlap=18
266,Tehran,266,Tehran,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
267,STATE_267,267,Kabul,merge,0.600,2,split+merge; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=2
