bsr_state_id,bsr_state_name,bsr_continent,selected_tsr_state_id,selected_tsr_state_name,selected_mapping_type,selected_confidence,alternative_mapping_count,issue_count,vp_omission_count,manual_building_distribution,manual_resource_distribution,owner_core_conflict,decision_status,decision_reason,review_categories,selection_notes
172,STATE_172,europe,172,STATE_172,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=5
174,STATE_174,europe,174,STATE_174,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=13
175,STATE_175,europe,175,STATE_175,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=10
178,STATE_178,africa,178,STATE_178,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
181,STATE_181,europe,181,STATE_181,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=8
270,STATE_270,asia,270,STATE_270,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
281,STATE_281,asia,281,STATE_281,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
296,Guinea-Bissau,africa,296,Guinea-Bissau,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=2
298,STATE_298,africa,298,STATE_298,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=2
306,Cundinamarca,south_america,306,Cundinamarca,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=7
308,STATE_308,south_america,308,STATE_308,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=2
309,STATE_309,south_america,309,STATE_309,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=3
311,STATE_311,south_america,311,STATE_311,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
315,STATE_315,south_america,315,STATE_315,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=10
316,STATE_316,south_america,316,STATE_316,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=3
318,STATE_318,south_america,318,STATE_318,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=3
319,STATE_319,south_america,319,STATE_319,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=4
323,STATE_323,asia,323,STATE_323,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=7
324,STATE_324,asia,324,STATE_324,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=2
337,STATE_337,europe,337,STATE_337,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
347,STATE_347,middle_east,347,STATE_347,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=7
363,STATE_363,north_america,363,STATE_363,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=20
364,STATE_364,north_america,364,STATE_364,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=12
365,STATE_365,north_america,365,STATE_365,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=19
366,STATE_366,north_america,366,STATE_366,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=16
368,STATE_368,north_america,368,STATE_368,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=15
369,STATE_369,north_america,369,STATE_369,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=14
372,STATE_372,north_america,372,STATE_372,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=14
373,STATE_373,north_america,373,STATE_373,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=18
386,STATE_386,north_america,386,Washington State,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=22
392,STATE_392,north_america,392,STATE_392,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=16
394,STATE_394,north_america,394,STATE_394,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=18
395,STATE_395,north_america,395,STATE_395,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=24
396,STATE_396,north_america,396,STATE_396,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=17
464,STATE_464,north_america,464,STATE_464,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=8
465,STATE_465,north_america,465,STATE_465,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=8
474,STATE_474,north_america,474,STATE_474,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=3
477,STATE_477,north_america,477,STATE_477,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=4
482,STATE_482,north_america,482,STATE_482,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=11
493,STATE_493,south_america,493,STATE_493,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=11
498,STATE_498,south_america,498,STATE_498,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=2
501,STATE_501,south_america,501,STATE_501,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=14
517,STATE_517,australia,517,STATE_517,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=14
518,STATE_518,australia,518,STATE_518,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=6
519,STATE_519,australia,519,STATE_519,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=15
520,STATE_520,australia,520,STATE_520,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=25
532,Tokai,asia,532,Tokai,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=9
625,STATE_625,asia,625,STATE_625,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=5
628,STATE_628,asia,628,STATE_628,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=9
629,STATE_629,asia,629,STATE_629,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=5
630,STATE_630,asia,630,STATE_630,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
631,STATE_631,asia,631,STATE_631,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
632,STATE_632,asia,632,STATE_632,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
638,STATE_638,asia,638,STATE_638,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
645,STATE_645,asia,645,STATE_645,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
649,STATE_649,south_america,649,STATE_649,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
685,STATE_685,south_america,685,STATE_685,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
689,STATE_689,south_america,689,STATE_689,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=2
690,STATE_690,south_america,690,STATE_690,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=3
691,STATE_691,south_america,691,STATE_691,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=2
692,STATE_692,south_america,692,STATE_692,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=4
693,STATE_693,south_america,693,STATE_693,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=2
695,STATE_695,south_america,695,STATE_695,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
696,STATE_696,north_america,696,STATE_696,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
697,STATE_697,africa,697,STATE_697,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
698,STATE_698,europe,698,STATE_698,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
703,STATE_703,africa,703,STATE_703,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
704,STATE_704,africa,704,STATE_704,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
707,STATE_707,africa,707,STATE_707,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
709,STATE_709,africa,709,STATE_709,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
710,STATE_710,asia,710,STATE_710,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
712,STATE_712,asia,712,STATE_712,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
739,STATE_739,north_america,739,STATE_739,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
740,STATE_740,north_america,740,STATE_740,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=5
768,Rwanda,africa,768,Rwanda,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
769,Burundi,africa,769,Burundi,same_id_same_area,1.000,1,0,0,no,no,no,auto_approved,same_id_same_area with no review issues,,province_overlap=1
