tsr_state_id,tsr_state_name,bsr_state_id,bsr_state_name,mapping_type,confidence,notes,bsr_continent,tsr_owner,bsr_owner,tsr_controller,bsr_controller,tsr_cores,bsr_cores
918,Västerbotten,38,STATE_38,merge,1.000,merge; province_overlap=34; bsr_source_count=2,europe,SWE,SWE,,,SMI SWE,SWE
39,(South Tyrol) Alto Adige,39,STATE_39,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1,europe,GER,ITA,,,GER ITA LBV,AUS ITA
42,STATE_42,42,STATE_42,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/5; bsr_source_count=1,europe,GER,GER,,,GER PRE RHI,BAY GER RHI
43,Northern Hungary,43,Northern Hungary,split,1.000,split; province_overlap=4; tsr_overlap_rank=2/2; bsr_source_count=1,europe,HUN,HUN,,,HUN,HUN
45,STATE_45,45,STATE_45,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=1,europe,HUN,YUG,,HUN,SER YUG,SER VOJ YUG
46,Muntenia,46,STATE_46,split,1.000,split; province_overlap=9; tsr_overlap_rank=1/3; bsr_source_count=1,europe,ROM,ROM,,,ROM,ROM
47,Thessaly,47,STATE_47,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/6; bsr_source_count=1,europe,GRE,GRE,,GER,GRE,GRE
48,STATE_48,48,STATE_48,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/3; bsr_source_count=1,europe,BUL,BUL,BUL,,BUL,BUL
50,Württemberg,50,STATE_50,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/6; bsr_source_count=1,europe,GER,GER,,,GER WUR,GER WUR
51,STATE_51,51,STATE_51,split,1.000,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1,europe,GER,GER,,,GER PRE RHI,GER PRE RHI
52,STATE_52,52,STATE_52,split,1.000,split; province_overlap=9; tsr_overlap_rank=1/4; bsr_source_count=1,europe,GER,GER,,,BAY GER,BAY GER
53,STATE_53,53,STATE_53,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1,europe,GER,GER,,,BAY GER,BAY GER
55,STATE_55,55,STATE_55,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/6; bsr_source_count=1,europe,GER,GER,,,GER HES PRE,GER HES PRE
57,STATE_57,57,STATE_57,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=1,europe,GER,GER,,,GER HAN PRE,GER HAN PRE
58,STATE_58,58,STATE_58,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1,europe,GER,GER,,,GER PRE SHL,GER PRE SHL
58,STATE_58,59,STATE_59,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1,europe,GER,GER,,,GER PRE SHL,GER HAN PRE
60,STATE_60,60,STATE_60,split,1.000,split; province_overlap=6; tsr_overlap_rank=1/2; bsr_source_count=1,europe,GER,GER,,,GER THU,GER PRE THU
61,STATE_61,61,STATE_61,merge,1.000,merge; province_overlap=6; bsr_source_count=2,europe,GER,GER,,,GER MEK,GER MEK
62,STATE_62,62,STATE_62,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1,europe,GER,GER,,,GER PRE,GER PRE
63,STATE_63,63,STATE_63,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/9; bsr_source_count=1,europe,GER,GER,,,GER KSH PRE,GER PRE
299,STATE_299,64,STATE_64,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ENG; bsr_tags=GER PRE,europe,ENG,GER,,,,GER PRE
65,STATE_65,65,STATE_65,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/6; bsr_source_count=1,europe,GER,GER,,,GER SAX,GER SAX
67,STATE_67,67,STATE_67,split,1.000,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1,europe,GER,GER,,,GER PRE SIL,GER POL PRE SIL
68,STATE_68,68,STATE_68,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/6; bsr_source_count=1,europe,GER,GER,,,GER PRE,GER PRE
69,STATE_69,69,STATE_69,split,1.000,split; province_overlap=6; tsr_overlap_rank=1/2; bsr_source_count=1,europe,GER,CZE,GER,GER,CZE GER,CZE GER
70,STATE_70,70,STATE_70,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1,europe,HUN,CZE,HUN,SLO,SLO,CZE SLO
71,STATE_71,71,STATE_71,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/3; bsr_source_count=1,europe,HUN,CZE,HUN,SLO,SLO,CZE SLO
72,STATE_72,72,STATE_72,split,1.000,split; province_overlap=1; tsr_overlap_rank=1/2; bsr_source_count=1,europe,CZE,CZE,POL,POL,CZE,CZE MRV POL
73,STATE_73,73,STATE_73,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1,europe,HUN,CZE,HUN,HUN,HUN SLO UKR,CZE HUN SLO UKR
74,STATE_74,74,STATE_74,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1,europe,GER,CZE,GER,GER,CZE GER,CZE GER MRV
78,STATE_78,78,STATE_78,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=1,europe,RUS,ROM,,SOV,MOL ROM,MOL ROM
79,STATE_79,79,STATE_79,split,1.000,split; province_overlap=12; tsr_overlap_rank=1/3; bsr_source_count=1,europe,ROM,ROM,,,ROM,ROM
86,STATE_86,86,STATE_86,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/6; bsr_source_count=1,europe,GER,POL,,GER,GER POL,POL
89,STATE_89,89,STATE_89,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=1,europe,RUS,POL,,SOV,POL UKR,GAL POL UKR
94,STATE_94,94,STATE_94,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/9; bsr_source_count=1,europe,RUS,POL,,SOV,BLR POL,BLR POL
97,STATE_97,97,STATE_97,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/6; bsr_source_count=1,europe,RUS,POL,,SOV,BLR POL,POL
103,Dalmatia,103,STATE_103,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1,europe,YUG,YUG,,CRO,CRO YUG,CRO YUG
104,STATE_104,104,STATE_104,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/8; bsr_source_count=1,europe,YUG,YUG,,CRO,BOS YUG,BOS YUG
105,STATE_105,105,STATE_105,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1,europe,YUG,YUG,,MNT,MNT YUG,MNT YUG
106,STATE_106,106,STATE_106,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=1,europe,YUG,YUG,,BUL,MAC YUG,MAC YUG
109,Croatia,109,STATE_109,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/4; bsr_source_count=1,europe,YUG,YUG,,CRO,CRO YUG,CRO YUG
111,UUSIMA,111,Uusimaa,split,1.000,split; province_overlap=6; tsr_overlap_rank=1/3; bsr_source_count=1,europe,RUS,FIN,RUS,,FIN,FIN
113,Leinster,113,Leinster,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1,europe,IRE,IRE,,,IRE,IRE
119,STATE_119,119,STATE_119,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1,europe,IRE,ENG,,,ENG IRE NIR,ENG IRE NIR
123,STATE_123,123,STATE_123,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/3; bsr_source_count=1,europe,ENG,ENG,,,ENG,ENG
126,STATE_126,126,STATE_126,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1,europe,ENG,ENG,,,ENG,ENG
127,Sussex,127,Sussex,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=1,europe,ENG,ENG,,,ENG,ENG
128,STATE_128,128,STATE_128,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/3; bsr_source_count=1,europe,ENG,ENG,,,ENG,ENG
129,STATE_129,129,STATE_129,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1,europe,ENG,ENG,,,ENG,ENG
134,STATE_134,134,STATE_134,split,1.000,split; province_overlap=8; tsr_overlap_rank=1/2; bsr_source_count=1,europe,IRE,IRE,,,IRE,IRE
137,STATE_137,137,STATE_137,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/3; bsr_source_count=1,europe,RUS,SOV,,,CRI RUS,CRI SOV
138,STATE_138,138,STATE_138,split,1.000,split; province_overlap=9; tsr_overlap_rank=1/2; bsr_source_count=1,europe,SWE,SWE,,,SWE,SWE
139,STATE_139,139,STATE_139,merge,1.000,merge; province_overlap=13; bsr_source_count=2,europe,SWE,SWE,,,SWE,SWE
140,Västra Götaland,140,STATE_140,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1,europe,SWE,SWE,,,SWE,SWE
141,Svealand,141,STATE_141,split,1.000,split; province_overlap=12; tsr_overlap_rank=1/2; bsr_source_count=1,europe,SWE,SWE,,,SWE,SWE
146,KARJALA,146,STATE_146,split,1.000,split; province_overlap=9; tsr_overlap_rank=1/4; bsr_source_count=1,europe,RUS,FIN,RUS,SOV,FIN KAR,FIN KAR
148,LAPPI,148,STATE_148,split,1.000,split; province_overlap=15; tsr_overlap_rank=1/3; bsr_source_count=1,europe,RUS,FIN,RUS,,FIN SMI,FIN
152,STATE_152,152,STATE_152,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/4; bsr_source_count=1,europe,GER,AUS,GER,GER,AUS GER,AUS GER
154,STATE_154,154,STATE_154,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1,europe,HUN,HUN,,,HUN,HUN
155,North Transdanubia,155,STATE_155,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=1,europe,HUN,HUN,,,HUN,HUN
157,STATE_157,157,STATE_157,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/5; bsr_source_count=1,europe,ITA,ITA,,,ITA PAP,ITA
158,STATE_158,158,STATE_158,split,1.000,split; province_overlap=4; tsr_overlap_rank=2/6; bsr_source_count=1,europe,ITA,ITA,,,ITA SPM,ITA SRD
159,STATE_159,159,STATE_159,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/4; bsr_source_count=1,europe,ITA,ITA,,,ITA LBV,ITA VEC
160,STATE_160,160,STATE_160,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=1,europe,ITA,ITA,,,ITA LBV,ITA VEC
161,STATE_161,161,STATE_161,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/4; bsr_source_count=1,europe,ITA,ITA,,,ITA PAP,ITA
162,STATE_162,162,STATE_162,split,1.000,split; province_overlap=8; tsr_overlap_rank=1/3; bsr_source_count=1,europe,ITA,ITA,,,ITA TOS,ITA TUS
120,STATE_120,163,STATE_163,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ENG SCO; bsr_tags=CRO ITA YUG,europe,ENG,ITA,,,ENG SCO,CRO ITA YUG
166,STATE_166,166,STATE_166,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1,europe,SPR,SPR,,,SPR,SPR
168,STATE_168,168,STATE_168,split,1.000,split; province_overlap=5; tsr_overlap_rank=2/2; bsr_source_count=1,europe,SPR,SPR,,,SPR,SPR
171,STATE_171,171,STATE_171,merge,1.000,merge; province_overlap=13; bsr_source_count=2,europe,SPR,SPR,,,GLC SPR,GLC SPR
176,STATE_176,176,STATE_176,split,1.000,split; province_overlap=9; tsr_overlap_rank=1/2; bsr_source_count=1,europe,SPR,SPR,,,SPR,SPR
177,STATE_177,177,STATE_177,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/2; bsr_source_count=1,europe,SPR,SPR,,,SPR,SPR
179,STATE_179,179,STATE_179,split,1.000,split; province_overlap=6; tsr_overlap_rank=1/3; bsr_source_count=1,europe,POR,POR,,,POR,POR
180,STATE_180,180,STATE_180,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=1,europe,POR,POR,,,POR,POR
182,STATE_182,182,STATE_182,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1,europe,GRE,GRE,,GER,GRE,CRT GRE
183,STATE_183,183,STATE_183,split,1.000,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1,europe,GRE,ENG,GRE,,CYP GRE,CYP
187,STATE_187,187,STATE_187,split,1.000,split; province_overlap=1; tsr_overlap_rank=1/3; bsr_source_count=1,europe,GRE,GRE,,ITA,GRE,GRE
190,STATE_190,190,STATE_190,merge,1.000,merge; province_overlap=6; bsr_source_count=2,europe,RUS,LAT,,SOV,LAT,COU LAT
191,STATE_191,191,STATE_191,merge,1.000,merge; province_overlap=5; bsr_source_count=3,europe,RUS,EST,,SOV,EST,EST LIV
192,STATE_192,192,STATE_192,merge,1.000,merge; province_overlap=6; bsr_source_count=2,europe,RUS,SOV,,,RUS UKR,SOV UKR
193,Chernihiv,193,STATE_193,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/5; bsr_source_count=1,europe,RUS,SOV,,,RUS UKR,SOV UKR
196,STATE_196,196,STATE_196,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1,europe,RUS,SOV,,,CRI RUS UKR,SOV UKR
197,STATE_197,197,STATE_197,merge,1.000,merge; province_overlap=8; bsr_source_count=2,europe,RUS,SOV,,,RUS UKR,SOV UKR
198,STATE_198,198,STATE_198,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1,europe,RUS,SOV,,,RUS UKR,SOV UKR
199,STATE_199,199,STATE_199,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/4; bsr_source_count=1,europe,RUS,SOV,,,RUS UKR,SOV UKR
202,STATE_202,202,STATE_202,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/5; bsr_source_count=1,europe,RUS,SOV,,,RUS UKR,SOV UKR
203,STATE_203,203,STATE_203,split,1.000,split; province_overlap=10; tsr_overlap_rank=1/3; bsr_source_count=1,europe,RUS,SOV,,,RUS UKR,SOV UKR
207,STATE_207,207,STATE_207,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/6; bsr_source_count=1,europe,RUS,SOV,,,BLR RUS,BLR SOV
211,STATE_211,211,STATE_211,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1,europe,BUL,BUL,BUL,,BUL,BUL
212,STATE_212,212,STATE_212,split,1.000,split; province_overlap=6; tsr_overlap_rank=1/4; bsr_source_count=1,europe,BUL,BUL,BUL,,BUL,BUL
221,STATE_221,221,STATE_221,merge,1.000,merge; province_overlap=11; bsr_source_count=2,europe,RUS,SOV,,,RUS UKR,SOV UKR
226,Dnipropertovsk,226,STATE_226,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1,europe,RUS,SOV,,,RUS UKR,SOV UKR
227,STATE_227,227,STATE_227,split,1.000,split; province_overlap=8; tsr_overlap_rank=1/2; bsr_source_count=1,europe,RUS,SOV,,,RUS UKR,SOV UKR
229,STATE_229,229,STATE_229,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/6; bsr_source_count=1,europe,RUS,SOV,,,AZR RUS,AZR SOV
230,STATE_230,230,STATE_230,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/4; bsr_source_count=1,europe,RUS,SOV,,,ARM RUS,ARM SOV
231,STATE_231,231,STATE_231,split,1.000,split; province_overlap=3; tsr_overlap_rank=3/7; bsr_source_count=1,europe,RUS,SOV,,,GEO RUS,GEO SOV
241,Gomel,241,Gomel,split,1.000,split; province_overlap=1; tsr_overlap_rank=2/3; bsr_source_count=1,europe,RUS,SOV,,,BLR RUS,BLR SOV
825,Nenets,262,STATE_262,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=9; tsr_tags=NEN RUS; bsr_tags=SOV,europe,RUS,SOV,,,NEN RUS,SOV
338,STATE_338,338,STATE_338,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=1,europe,ENG,ENG,,,ENG,ENG
405,Tashkent,405,STATE_405,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=1,asia,RUS,SOV,,,RUS UZB,KOK SOV UZB
406,Gurev,406,STATE_406,split,1.000,split; province_overlap=9; tsr_overlap_rank=2/2; bsr_source_count=1,europe,RUS,SOV,,,KAZ RUS,KAZ SOV
407,STATE_407,407,STATE_407,split,1.000,split; province_overlap=25; tsr_overlap_rank=1/2; bsr_source_count=1,europe,RUS,SOV,,,KAZ RUS,KAZ SOV
408,STATE_408,408,STATE_408,split,1.000,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1,asia,RUS,SOV,,,FER RUS VLA,FER RUS SIB SOV
409,STATE_409,409,STATE_409,split,1.000,split; province_overlap=24; tsr_overlap_rank=1/2; bsr_source_count=1,asia,RUS,SOV,,,FER RUS VLA,FER SIB SOV
560,Nikolayevsk,560,STATE_560,split,1.000,split; province_overlap=11; tsr_overlap_rank=1/2; bsr_source_count=1,asia,RUS,SOV,,,FER RUS,FER SIB SOV
561,Amur,561,STATE_561,split,1.000,split; province_overlap=8; tsr_overlap_rank=1/2; bsr_source_count=1,asia,RUS,SOV,,,FER RUS,FER SIB SOV
562,Okhotsk,562,Okhotsk,merge,1.000,merge; province_overlap=11; bsr_source_count=2,asia,RUS,SOV,,,FER RUS,FER SIB SOV
874,Magadan,562,Okhotsk,merge,1.000,merge; province_overlap=3; bsr_source_count=2,asia,RUS,SOV,,,FER RUS,FER SIB SOV
563,Chita,563,STATE_563,merge,1.000,merge; province_overlap=21; bsr_source_count=2,asia,RUS,SOV,,,FER RUS,FER SIB SOV
583,STATE_583,583,STATE_583,split,1.000,split; province_overlap=17; tsr_overlap_rank=1/3; bsr_source_count=1,asia,RUS,SOV,,,KAZ RUS,KAZ SOV
584,STATE_584,584,STATE_584,split,1.000,split; province_overlap=4; tsr_overlap_rank=3/6; bsr_source_count=1,asia,RUS,SOV,,,RUS TMS,SOV TMS
586,STATE_586,586,STATE_586,merge,1.000,merge; province_overlap=10; bsr_source_count=2,asia,RUS,SOV,,,KAZ RUS,KAZ SOV
882,Pavlodar,588,STATE_588,merge,1.000,merge; province_overlap=9; bsr_source_count=2,asia,RUS,SOV,,,KAZ RUS,KAZ SOV
590,Akmolinsk,590,Akmolinsk,merge,1.000,merge; province_overlap=28; bsr_source_count=2,asia,RUS,SOV,,,KAZ RUS,KAZ SOV
644,Kolyma,644,STATE_644,merge,1.000,merge; province_overlap=6; bsr_source_count=2,asia,RUS,SOV,,,RUS YAK,SIB SOV YAK
822,Chukotka,644,STATE_644,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=4; tsr_tags=CKK FER RUS; bsr_tags=SIB SOV YAK,asia,RUS,SOV,,,CKK FER RUS,SIB SOV YAK
664,STATE_664,664,STATE_664,split,1.000,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1,europe,HUN,CZE,HUN,HUN,HUN SLO,CZE HUN SLO
666,STATE_666,666,STATE_666,split,1.000,split; province_overlap=23; tsr_overlap_rank=1/2; bsr_source_count=1,europe,SWE,SWE,,,SMI SWE,SWE
732,STATE_732,732,STATE_732,split,1.000,split; province_overlap=11; tsr_overlap_rank=1/2; bsr_source_count=1,asia,RUS,SOV,,,KYR RUS,KOK KYR SOV
1066,STATE_1066,735,STATE_735,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=3; tsr_tags=ITA; bsr_tags=FRA SRD,europe,ITA,FRA,ITA,,ITA,FRA SRD
852,Dalmatia,736,STATE_736,split,1.000,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1,europe,ITA,ITA,,,CRO ITA LBV YUG,CRO ITA YUG
742,STATE_742,742,STATE_742,split,1.000,split; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=1,asia,RUS,SOV,,,BUK RUS TAJ,SOV TAJ
763,STATE_763,763,STATE_763,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1,europe,GER,GER,,GER,GER PRE,GER PRE
764,STATE_764,764,STATE_764,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1,europe,HUN,YUG,HUN,GER,SER TRA YUG,BNT SER VOJ YUG
766,STATE_766,766,STATE_766,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=1,europe,RUS,ROM,,SOV,MOL ROM UKR,MOL ROM UKR
784,STATE_784,784,STATE_784,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=1,europe,RUS,POL,,SOV,LIT POL,LIT POL
51,STATE_51,788,STATE_788,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1,europe,GER,GER,,,GER PRE RHI,GER HAN PRE RHI
42,STATE_42,789,STATE_789,split,1.000,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1,europe,GER,GER,,,GER PRE RHI,GER RHI SAR
55,STATE_55,790,STATE_790,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/6; bsr_source_count=1,europe,GER,GER,,,GER HES PRE,GER HES PRE
64,STATE_64,794,STATE_794,split,1.000,split; province_overlap=6; tsr_overlap_rank=1/6; bsr_source_count=1,europe,GER,GER,,,GER PRE,GER PRE
65,STATE_65,795,STATE_795,split,1.000,split; province_overlap=5; tsr_overlap_rank=1/6; bsr_source_count=1,europe,GER,GER,,,GER SAX,GER SAX
63,STATE_63,797,STATE_797,split,1.000,split; province_overlap=1; tsr_overlap_rank=7/9; bsr_source_count=1,europe,GER,GER,,,GER KSH PRE,GER PRE
52,STATE_52,798,STATE_798,split,1.000,split; province_overlap=1; tsr_overlap_rank=3/4; bsr_source_count=1,europe,GER,GER,,,BAY GER,BAY GER
53,STATE_53,800,STATE_800,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/2; bsr_source_count=1,europe,GER,GER,,,BAY GER,BAY GER
66,STATE_66,801,STATE_801,split,1.000,split; province_overlap=2; tsr_overlap_rank=4/7; bsr_source_count=1,europe,GER,GER,,,GER PRE SIL,GER PRE SIL
66,STATE_66,802,STATE_802,split,1.000,split; province_overlap=1; tsr_overlap_rank=6/7; bsr_source_count=1,europe,GER,GER,,,GER PRE SIL,GER PRE SIL
67,STATE_67,803,STATE_803,split,1.000,split; province_overlap=1; tsr_overlap_rank=4/5; bsr_source_count=1,europe,GER,GER,,,GER PRE SIL,GER POL PRE SIL
4,STATE_4,807,STATE_807,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/3; bsr_source_count=1,europe,GER,AUS,GER,GER,AUS GER,AUS GER
973,STATE_973,809,STATE_809,split,1.000,split; province_overlap=2; tsr_overlap_rank=1/2; bsr_source_count=1,europe,HUN,HUN,,,HUN,HUN
18,STATE_18,815,STATE_815,split,1.000,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1,europe,FRA,FRA,,GER,FRA,FRA
849,STATE_849,816,STATE_816,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/2; bsr_source_count=1,europe,ITA,ITA,,,ITA TTS,ITA KTS
24,STATE_24,819,STATE_819,split,1.000,split; province_overlap=3; tsr_overlap_rank=2/4; bsr_source_count=1,europe,FRA,FRA,,GER,FRA,FRA
31,STATE_31,820,STATE_820,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/7; bsr_source_count=1,europe,FRA,FRA,,,FRA OCC,CAT FRA OCC
851,Var (Split-off from former Provence now Bouches-du-Rhône),822,STATE_822,split,1.000,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1,europe,FRA,FRA,,,FRA OCC,FRA OCC
735,STATE_735,823,STATE_823,merge,1.000,merge; province_overlap=4; bsr_source_count=2,europe,FRA,FRA,,,FRA OCC,FRA OCC
508,Tucuman,825,STATE_825,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ARG; bsr_tags=MCO,europe,ARG,MCO,,,ARG,MCO
1014,STATE_1014,826,STATE_826,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=BHR; bsr_tags=LIE,europe,BHR,LIE,,,BHR,LIE
508,Tucuman,827,STATE_827,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ARG; bsr_tags=SMR,europe,ARG,SMR,,,ARG,SMR
955,STATE_955,828,STATE_828,manual,1.000,incompatible province overlap rejected for automatic overlay; province_overlap=1; tsr_tags=ARG WLA; bsr_tags=VCT,europe,ARG,VCT,,,ARG WLA,VCT
79,STATE_79,830,STATE_830,split,1.000,split; province_overlap=2; tsr_overlap_rank=3/3; bsr_source_count=1,europe,ROM,ROM,,,ROM,BUK ROM
