bsr_state_id,bsr_state_name,bsr_continent,selected_tsr_state_id,selected_tsr_state_name,selected_mapping_type,selected_confidence,alternative_mapping_count,issue_count,vp_omission_count,manual_building_distribution,manual_resource_distribution,owner_core_conflict,decision_status,decision_reason,review_categories,selection_notes
887,STATE_887,europe,69,STATE_69,split,1.000,1,10,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=2/2; bsr_source_count=1
185,STATE_185,europe,185,STATE_185,merge,0.800,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=4; tsr_overlap_rank=1/7; bsr_source_count=2
978,STATE_978,europe,47,Thessaly,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=1
986,STATE_986,europe,160,STATE_160,split,1.000,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1
1061,STATE_1061,europe,7,STATE_7,merge,0.500,2,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=2
1112,STATE_1112,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=5/9; bsr_source_count=1
1151,STATE_1151,europe,150,KUOPIO,merge,0.812,3,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=13; tsr_overlap_rank=1/5; bsr_source_count=3
1203,STATE_1203,europe,161,STATE_161,merge,0.500,3,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=3/4; bsr_source_count=3
1303,STATE_1303,europe,185,STATE_185,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/7; bsr_source_count=1
1333,STATE_1333,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/9; bsr_source_count=1
1362,STATE_1362,europe,666,STATE_666,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=8; tsr_overlap_rank=2/2; bsr_source_count=1
1427,STATE_1427,europe,185,STATE_185,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=5/7; bsr_source_count=1
1453,STATE_1453,europe,47,Thessaly,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=1/6; bsr_source_count=1
1508,STATE_1508,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=4/9; bsr_source_count=1
1513,STATE_1513,europe,47,Thessaly,split,0.667,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/6; bsr_source_count=1
1596,STATE_1596,europe,161,STATE_161,split,1.000,1,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
1630,Savo / Tavastland / Tavastia,europe,148,LAPPI,merge,0.533,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=8; tsr_overlap_rank=2/3; bsr_source_count=2
1655,STATE_1655,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/9; bsr_source_count=1
1700,STATE_1700,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=9/9; bsr_source_count=1
1701,STATE_1701,europe,63,STATE_63,split,1.000,1,7,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=3/9; bsr_source_count=1
1710,STATE_1710,europe,9,STATE_9,merge,0.500,2,7,3,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=2
1767,STATE_1767,europe,55,STATE_55,split,1.000,1,7,4,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=5/6; bsr_source_count=1
63,STATE_63,europe,63,STATE_63,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=1/9; bsr_source_count=1
144,STATE_144,europe,925,STATE_925,merge,0.882,2,6,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=15; tsr_overlap_rank=1/2; bsr_source_count=2
187,STATE_187,europe,187,STATE_187,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=1/3; bsr_source_count=1
799,STATE_799,europe,50,Württemberg,merge,0.500,2,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=2
863,STATE_863,europe,88,STATE_88,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=9/9; bsr_source_count=1
889,STATE_889,europe,70,STATE_70,split,0.500,2,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/3; bsr_source_count=1
977,STATE_977,europe,185,STATE_185,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=7/7; bsr_source_count=1
988,STATE_988,europe,158,STATE_158,split,0.833,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=5; tsr_overlap_rank=1/6; bsr_source_count=1
996,STATE_996,europe,88,STATE_88,split,0.500,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/9; bsr_source_count=1
1058,STATE_1058,europe,35,STATE_35,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/5; bsr_source_count=1
1142,STATE_1142,europe,212,STATE_212,split,0.667,2,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=3/4; bsr_source_count=1
1143,STATE_1143,europe,212,STATE_212,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
1149,STATE_1149,europe,976,STATE_976,merge,0.857,2,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=6; tsr_overlap_rank=1/3; bsr_source_count=2
1181,STATE_1181,europe,88,STATE_88,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=5/9; bsr_source_count=1
1328,STATE_1328,europe,65,STATE_65,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=1
1351,STATE_1351,europe,158,STATE_158,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=1
1361,STATE_1361,europe,148,LAPPI,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=6; tsr_overlap_rank=3/3; bsr_source_count=1
1398,STATE_1398,europe,119,STATE_119,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/4; bsr_source_count=1
1399,STATE_1399,europe,119,STATE_119,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=1
1432,STATE_1432,europe,55,STATE_55,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/6; bsr_source_count=1
1435,STATE_1435,europe,6,Flanders,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
1486,STATE_1486,europe,212,STATE_212,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/4; bsr_source_count=1
1599,STATE_1599,europe,88,STATE_88,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=3/9; bsr_source_count=1
1611,STATE_1611,europe,65,STATE_65,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/6; bsr_source_count=1
1737,STATE_1737,europe,88,STATE_88,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/9; bsr_source_count=1
1756,STATE_1756,europe,161,STATE_161,split,0.667,2,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=4/4; bsr_source_count=1
1802,STATE_1802,europe,158,STATE_158,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=5/6; bsr_source_count=1
1807,STATE_1807,europe,977,Antwerpen,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/3; bsr_source_count=1
1926,STATE_1926,europe,65,STATE_65,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/6; bsr_source_count=1
1934,STATE_1934,europe,28,Alsace-Lorraine,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/7; bsr_source_count=1
1976,STATE_1976,europe,35,STATE_35,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1
1990,STATE_1990,europe,980,STATE_980,split,1.000,1,6,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/3; bsr_source_count=1
2003,STATE_2003,europe,104,STATE_104,merge,0.500,2,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=6/8; bsr_source_count=2
2019,STATE_2019,europe,189,STATE_189,split,1.000,1,6,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1
2036,STATE_2036,europe,65,STATE_65,split,1.000,1,6,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=5/6; bsr_source_count=1
28,STATE_28,europe,978,Baden,merge,0.750,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=3; tsr_overlap_rank=1/4; bsr_source_count=2
42,STATE_42,europe,42,STATE_42,split,1.000,1,5,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=1/5; bsr_source_count=1
44,STATE_44,europe,44,STATE_44,split,0.600,3,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1
47,STATE_47,europe,47,Thessaly,split,1.000,1,5,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/6; bsr_source_count=1
88,STATE_88,europe,88,STATE_88,split,0.250,2,5,3,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/9; bsr_source_count=1
108,STATE_108,europe,802,STATE_802,merge,0.667,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=2
158,STATE_158,europe,158,STATE_158,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=2/6; bsr_source_count=1
189,STATE_189,europe,189,STATE_189,merge,0.667,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=2
731,STATE_731,europe,731,STATE_731,merge,0.667,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=3/6; bsr_source_count=2
736,STATE_736,europe,852,Dalmatia,split,1.000,1,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
788,STATE_788,europe,51,STATE_51,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1
797,STATE_797,europe,63,STATE_63,split,1.000,1,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=7/9; bsr_source_count=1
803,STATE_803,europe,67,STATE_67,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/5; bsr_source_count=1
817,STATE_817,europe,18,STATE_18,merge,0.667,2,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=1/5; bsr_source_count=2
830,STATE_830,europe,79,STATE_79,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=3/3; bsr_source_count=1
878,STATE_878,europe,108,STATE_108,merge,0.500,3,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=4/6; bsr_source_count=2
940,STATE_940,europe,105,STATE_105,split,1.000,1,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1
941,STATE_941,europe,802,STATE_802,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1
952,STATE_952,europe,183,STATE_183,split,1.000,1,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=1/2; bsr_source_count=1
970,STATE_970,asia,409,STATE_409,split,1.000,1,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=1
975,STATE_975,europe,187,STATE_187,split,0.500,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1
976,STATE_976,europe,185,STATE_185,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=2/7; bsr_source_count=1
991,STATE_991,europe,117,Campania,split,1.000,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=4; tsr_overlap_rank=2/2; bsr_source_count=1
1005,STATE_1005,europe,229,STATE_229,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=5/6; bsr_source_count=1
1009,STATE_1009,europe,917,STATE_917,merge,0.789,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=15; tsr_overlap_rank=1/2; bsr_source_count=2
1012,STATE_1012,europe,920,STATE_920,merge,0.667,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=6; tsr_overlap_rank=2/4; bsr_source_count=2
1047,STATE_1047,europe,104,STATE_104,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=4/8; bsr_source_count=1
1060,STATE_1060,europe,35,STATE_35,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1
1063,STATE_1063,europe,184,STATE_184,merge,0.333,3,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=2/4; bsr_source_count=2
1103,STATE_1103,europe,48,STATE_48,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1
1127,STATE_1127,europe,226,Dnipropertovsk,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=5; tsr_overlap_rank=2/2; bsr_source_count=1
1139,STATE_1139,europe,731,STATE_731,split,0.500,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=1
1159,STATE_1159,europe,731,STATE_731,split,1.000,1,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=1/6; bsr_source_count=1
1186,STATE_1186,europe,23,STATE_23,split,1.000,1,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=2/2; bsr_source_count=1
1230,STATE_1230,europe,106,STATE_106,merge,0.500,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=2
1263,STATE_1263,europe,229,STATE_229,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=4/6; bsr_source_count=1
1334,STATE_1334,europe,51,STATE_51,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=4/5; bsr_source_count=1
1348,STATE_1348,europe,67,STATE_67,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=3/5; bsr_source_count=1
1366,STATE_1366,europe,229,STATE_229,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=3/6; bsr_source_count=1
1374,STATE_1374,europe,88,STATE_88,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=7/9; bsr_source_count=1
1391,STATE_1391,europe,158,STATE_158,split,1.000,1,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=4/6; bsr_source_count=1
1397,STATE_1397,europe,119,STATE_119,split,1.000,1,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=1/4; bsr_source_count=1
1407,STATE_1407,asia,408,STATE_408,split,1.000,1,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=34; tsr_overlap_rank=1/2; bsr_source_count=1
1415,STATE_1415,europe,50,Württemberg,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=1; tsr_overlap_rank=5/6; bsr_source_count=1
1421,STATE_1421,europe,104,STATE_104,split,1.000,1,5,2,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=3; tsr_overlap_rank=3/8; bsr_source_count=1
1428,STATE_1428,europe,731,STATE_731,split,1.000,1,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,split vp_review resource_distribution owner_core_conflict,split; province_overlap=2; tsr_overlap_rank=2/6; bsr_source_count=1
1444,STATE_1444,europe,227,STATE_227,merge,0.400,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=2
1490,STATE_1490,europe,202,STATE_202,merge,0.500,2,5,1,no,yes,yes,requires_manual,owner/controller/core conflict,merge vp_review resource_distribution owner_core_conflict,split+merge; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=2
