bsr_state_id,bsr_state_name,tsr_state_id,tsr_state_name,tsr_owner,bsr_owner,tsr_controller,bsr_controller,tsr_cores,bsr_cores
36,STATE_36,36,STATE_36,HOL,HOL,,GER,HOL,FRS HOL
37,STATE_37,37,STATE_37,DEN,DEN,,GER,DEN,DEN
38,STATE_38,918,Västerbotten,SWE,SWE,,,SMI SWE,SWE
39,STATE_39,39,(South Tyrol) Alto Adige,GER,ITA,,,GER ITA LBV,AUS ITA
40,Barnaul,40,Barnaul,RUS,SOV,,,ALT RUS,SIB SOV
42,STATE_42,42,STATE_42,GER,GER,,,GER PRE RHI,BAY GER RHI
44,STATE_44,44,STATE_44,ALB,ALB,ITA,,ALB,ALB
45,STATE_45,45,STATE_45,HUN,YUG,,HUN,SER YUG,SER VOJ YUG
47,STATE_47,47,Thessaly,GRE,GRE,,GER,GRE,GRE
48,STATE_48,48,STATE_48,BUL,BUL,BUL,,BUL,BUL
59,STATE_59,58,STATE_58,GER,GER,,,GER PRE SHL,GER HAN PRE
60,STATE_60,60,STATE_60,GER,GER,,,GER THU,GER PRE THU
63,STATE_63,63,STATE_63,GER,GER,,,GER KSH PRE,GER PRE
67,STATE_67,67,STATE_67,GER,GER,,,GER PRE SIL,GER POL PRE SIL
69,STATE_69,69,STATE_69,GER,CZE,GER,GER,CZE GER,CZE GER
70,STATE_70,70,STATE_70,HUN,CZE,HUN,SLO,SLO,CZE SLO
71,STATE_71,71,STATE_71,HUN,CZE,HUN,SLO,SLO,CZE SLO
72,STATE_72,72,STATE_72,CZE,CZE,POL,POL,CZE,CZE MRV POL
73,STATE_73,73,STATE_73,HUN,CZE,HUN,HUN,HUN SLO UKR,CZE HUN SLO UKR
74,STATE_74,74,STATE_74,GER,CZE,GER,GER,CZE GER,CZE GER MRV
75,STATE_75,75,STATE_75,CZE,CZE,GER,PBM,CZE,CZE MRV PBM
76,STATE_76,76,STATE_76,ROM,ROM,,HUN,ROM TRA,ROM TRA
77,STATE_77,77,STATE_77,ROM,ROM,,BUL,ROM,ROM
78,STATE_78,78,STATE_78,RUS,ROM,,SOV,MOL ROM,MOL ROM
80,STATE_80,80,STATE_80,RUS,ROM,,SOV,ROM UKR,BUK ROM UKR
82,STATE_82,82,STATE_82,HUN,ROM,,,ROM TRA,BNT ROM TRA
83,STATE_83,83,STATE_83,HUN,ROM,,,ROM TRA,ROM TRA
85,STATE_85,85,STATE_85,GER,DAN,,GER,DNZ GER KSH POL,DAN GER POL PRE
86,STATE_86,86,STATE_86,GER,POL,,GER,GER POL,POL
87,STATE_87,87,STATE_87,RUS,POL,,GER,POL,POL
88,STATE_88,88,STATE_88,RUS,POL,,GGO,POL,GAL POL
89,STATE_89,89,STATE_89,RUS,POL,,SOV,POL UKR,GAL POL UKR
90,STATE_90,90,Kielce,RUS,POL,,GGO,POL,POL
91,Lwow,91,Lwow,RUS,POL,,SOV,POL UKR,GAL POL UKR
92,STATE_92,92,STATE_92,RUS,POL,,GGO,POL,POL
93,STATE_93,93,STATE_93,RUS,POL,,SOV,POL UKR,POL UKR
94,STATE_94,94,STATE_94,RUS,POL,,SOV,BLR POL,BLR POL
95,STATE_95,95,STATE_95,RUS,POL,,SOV,BLR POL,BLR POL
96,STATE_96,96,STATE_96,RUS,POL,,SOV,BLR POL,BLR POL
97,STATE_97,97,STATE_97,RUS,POL,,SOV,BLR POL,POL
98,STATE_98,98,STATE_98,RUS,POL,,GER,POL,POL
99,STATE_99,99,STATE_99,DEN,DEN,,GER,DEN,DEN
101,STATE_101,101,STATE_101,DEN,DEN,,,DEN GRN,GRL
102,STATE_102,853,STATE_853,YUG,YUG,,ITA,SLV YUG,SLV YUG
103,STATE_103,103,Dalmatia,YUG,YUG,,CRO,CRO YUG,CRO YUG
104,STATE_104,104,STATE_104,YUG,YUG,,CRO,BOS YUG,BOS YUG
105,STATE_105,105,STATE_105,YUG,YUG,,MNT,MNT YUG,MNT YUG
106,STATE_106,106,STATE_106,YUG,YUG,,BUL,MAC YUG,MAC YUG
107,STATE_107,107,STATE_107,YUG,YUG,,SER,SER YUG,SER YUG
108,STATE_108,802,STATE_802,YUG,YUG,,SER,KOS SER YUG,SER YUG
109,STATE_109,109,Croatia,YUG,YUG,,CRO,CRO YUG,CRO YUG
110,STATE_110,110,STATE_110,NOR,NOR,,GER,NOR,NOR
111,Uusimaa,111,UUSIMA,RUS,FIN,RUS,,FIN,FIN
114,STATE_114,114,STATE_114,ITA,ITA,,,ITA SPM,ITA SRD
115,STATE_115,115,STATE_115,ITA,ITA,,,ITA TTS,ITA KTS
116,STATE_116,116,STATE_116,ITA,ENG,ITA,,ITA MLT,MLT
117,STATE_117,117,Campania,ITA,ITA,,,ITA TTS,ITA KTS
118,STATE_118,118,STATE_118,GER,ENG,GER,,,ADU SPR
119,STATE_119,119,STATE_119,IRE,ENG,,,ENG IRE NIR,ENG IRE NIR
137,STATE_137,137,STATE_137,RUS,SOV,,,CRI RUS,CRI SOV
142,STATE_142,142,STATE_142,NOR,NOR,,GER,NOR,NOR
143,STATE_143,143,STATE_143,NOR,NOR,,GER,NOR SMI,NOR
144,STATE_144,925,STATE_925,NOR,NOR,,GER,NOR SMI,NOR
145,STATE_145,145,ÅLAND,RUS,FIN,,,FIN,ALN FIN
146,STATE_146,146,KARJALA,RUS,FIN,RUS,SOV,FIN KAR,FIN KAR
147,STATE_147,147,SALLA,RUS,FIN,RUS,SOV,FIN KAR SMI,FIN KAR
148,STATE_148,148,LAPPI,RUS,FIN,RUS,,FIN SMI,FIN
149,Pohjanmaa,149,VAASA,RUS,FIN,RUS,,FIN,FIN
150,Savo,150,KUOPIO,RUS,FIN,RUS,,FIN,FIN
152,STATE_152,152,STATE_152,GER,AUS,GER,GER,AUS GER,AUS GER
153,STATE_153,153,STATE_153,GER,AUS,GER,GER,AUS GER,AUS GER
156,STATE_156,156,STATE_156,ITA,ITA,,,ITA TTS,ITA KTS
157,STATE_157,157,STATE_157,ITA,ITA,,,ITA PAP,ITA
158,STATE_158,158,STATE_158,ITA,ITA,,,ITA SPM,ITA SRD
159,STATE_159,159,STATE_159,ITA,ITA,,,ITA LBV,ITA VEC
160,STATE_160,160,STATE_160,ITA,ITA,,,ITA LBV,ITA VEC
161,STATE_161,161,STATE_161,ITA,ITA,,,ITA PAP,ITA
162,STATE_162,162,STATE_162,ITA,ITA,,,ITA TOS,ITA TUS
164,STATE_164,164,STATE_164,ITA,ITA,ITA,,GRE ITA,GRE
169,STATE_169,169,STATE_169,SPR,SPR,,,SPR,ADU SPR
173,STATE_173,173,STATE_173,SPR,SPR,,,SPR,ADU SPR
182,STATE_182,182,STATE_182,GRE,GRE,,GER,GRE,CRT GRE
183,STATE_183,183,STATE_183,GRE,ENG,GRE,,CYP GRE,CYP
184,STATE_184,184,STATE_184,GRE,GRE,,BUL,GRE,GRE THR
185,STATE_185,185,STATE_185,GRE,GRE,,ITA,GRE,GRE
186,STATE_186,186,STATE_186,GRE,GRE,,ITA,GRE,GRE
187,STATE_187,187,STATE_187,GRE,GRE,,ITA,GRE,GRE
188,STATE_188,188,STATE_188,GER,LIT,GER,GER,GER LIT,GER LIT
189,STATE_189,189,STATE_189,RUS,LIT,,SOV,LIT,LIT
190,STATE_190,190,STATE_190,RUS,LAT,,SOV,LAT,COU LAT
191,STATE_191,191,STATE_191,RUS,EST,,SOV,EST,EST LIV
192,STATE_192,192,STATE_192,RUS,SOV,,,RUS UKR,SOV UKR
193,STATE_193,193,Chernihiv,RUS,SOV,,,RUS UKR,SOV UKR
194,Mozyr,194,Mozyr,RUS,SOV,,,BLR RUS,BLR SOV
195,STATE_195,195,STATE_195,RUS,SOV,,,RUS,NOV SOV
196,STATE_196,196,STATE_196,RUS,SOV,,,CRI RUS UKR,SOV UKR
197,STATE_197,197,STATE_197,RUS,SOV,,,RUS UKR,SOV UKR
198,STATE_198,198,STATE_198,RUS,SOV,,,RUS UKR,SOV UKR
199,STATE_199,199,STATE_199,RUS,SOV,,,RUS UKR,SOV UKR
200,Zaporozhe,200,Zaporozhe,RUS,SOV,,,RUS UKR,SOV UKR
201,STATE_201,201,STATE_201,RUS,SOV,,,RUS UKR,SOV UKR
202,STATE_202,202,STATE_202,RUS,SOV,,,RUS UKR,SOV UKR
203,STATE_203,203,STATE_203,RUS,SOV,,,RUS UKR,SOV UKR
204,STATE_204,204,Bobruysk,RUS,SOV,,,BLR RUS,BLR SOV
205,Kaluga,205,Kaluga,RUS,SOV,,,RUS,MUS SOV
206,STATE_206,206,STATE_206,RUS,SOV,,,BLR RUS,BLR SOV
207,STATE_207,207,STATE_207,RUS,SOV,,,BLR RUS,BLR SOV
208,STATE_208,208,Luga,RUS,SOV,,,RUS,SOV
209,STATE_209,209,Pskov,RUS,SOV,,,RUS,SOV
210,Nevel,210,Nevel,RUS,SOV,,,RUS,MUS SOV
211,STATE_211,211,STATE_211,BUL,BUL,BUL,,BUL,BUL
212,STATE_212,212,STATE_212,BUL,BUL,BUL,,BUL,BUL
213,STATE_213,213,STATE_213,RUS,SOV,,,RUS SMI,SOV
215,STATE_215,215,STATE_215,RUS,SOV,,,KAR RUS,KAR SOV
216,STATE_216,216,STATE_216,RUS,SOV,,,KAR RUS,KAR SOV
217,STATE_217,217,STATE_217,RUS,SOV,,,RUS,SOV
218,STATE_218,218,STATE_218,RUS,SOV,,,RUS,DON SOV
219,STATE_219,219,STATE_219,RUS,SOV,,,RUS,MUS SOV
220,STATE_220,220,STATE_220,RUS,SOV,,,RUS,SOV
221,STATE_221,221,STATE_221,RUS,SOV,,,RUS UKR,SOV UKR
222,STATE_222,222,STATE_222,RUS,SOV,,,RUS,SOV
223,STATE_223,223,STATE_223,RUS,SOV,,,RUS,MUS SOV
224,STATE_224,224,STATE_224,RUS,SOV,,,RUS,MUS SOV
225,STATE_225,225,Sumy,RUS,SOV,,,RUS UKR,SOV UKR
226,STATE_226,226,Dnipropertovsk,RUS,SOV,,,RUS UKR,SOV UKR
227,STATE_227,227,STATE_227,RUS,SOV,,,RUS UKR,SOV UKR
228,Voroshilovgrad,228,Voroshilovgrad,RUS,SOV,,,RUS UKR,SOV UKR
229,STATE_229,229,STATE_229,RUS,SOV,,,AZR RUS,AZR SOV
230,STATE_230,230,STATE_230,RUS,SOV,,,ARM RUS,ARM SOV
231,STATE_231,231,STATE_231,RUS,SOV,,,GEO RUS,GEO SOV
232,STATE_232,232,Dagestan,RUS,SOV,,,DAG RUS,CHE SOV
233,STATE_233,233,STATE_233,RUS,SOV,,,RUS,CIR KUB SOV
234,STATE_234,234,STATE_234,RUS,SOV,,,RUS,KUB SOV
235,STATE_235,235,STATE_235,RUS,SOV,,,RUS,KLY SOV
236,STATE_236,236,STATE_236,RUS,SOV,,,RUS,SOV
237,STATE_237,237,STATE_237,RUS,SOV,,,KAL RUS,KLY SOV
238,STATE_238,238,STATE_238,RUS,SOV,,,RUS,DON SOV
239,STATE_239,239,STATE_239,RUS,SOV,,,RUS,SOV
240,Belgorod,240,Belgorod,RUS,SOV,,,RUS,SOV
241,Gomel,241,Gomel,RUS,SOV,,,BLR RUS,BLR SOV
243,STATE_243,243,STATE_243,RUS,SOV,,,RUS,MUS SOV
244,STATE_244,244,Volkhov,RUS,SOV,,,RUS,SOV
245,STATE_245,245,Millerovo,RUS,SOV,,,RUS,DON SOV
246,STATE_246,246,STATE_246,RUS,SOV,,,RUS,MUS SOV
247,STATE_247,247,STATE_247,RUS,SOV,,,RUS,MUS SOV
248,STATE_248,248,STATE_248,RUS,SOV,,,RUS,MUS SOV
249,STATE_249,249,STATE_249,RUS,SOV,,,RUS TAT,IDL SOV
250,STATE_250,250,STATE_250,RUS,SOV,,,RUS,IDL SOV
251,STATE_251,251,STATE_251,RUS,SOV,,,RUS,IDL SOV
252,STATE_252,252,STATE_252,RUS,SOV,,,RUS,SOV
253,STATE_253,253,STATE_253,RUS,SOV,,,RUS,MUS SOV
254,STATE_254,254,STATE_254,RUS,SOV,,,RUS,MUS SOV
255,STATE_255,255,STATE_255,RUS,SOV,,,RUS,SOV
256,STATE_256,833,STATE_833,RUS,SOV,,,MEL RUS,SOV
257,Tambov,257,Tambov,RUS,SOV,,,RUS,SOV
258,STATE_258,258,STATE_258,RUS,SOV,,,RUS,SOV
259,STATE_259,259,Poltava,RUS,SOV,,,RUS UKR,SOV UKR
260,Voronezh,260,Voronezh,RUS,SOV,,,RUS,SOV
263,STATE_263,263,STATE_263,RUS,SOV,,,RUS,SOV
264,STATE_264,264,STATE_264,RUS,SOV,,,RUS,SOV
265,STATE_265,265,STATE_265,RUS,SOV,,,RUS,DON SOV
268,STATE_268,268,STATE_268,SOM,FRA,SOM,,AFA DJI SOM,DJI
269,STATE_269,269,STATE_269,SOM,ENG,SOM,,SOM,SMA SOM
271,STATE_271,271,STATE_271,ETH,ETH,ITA,ITA,ETH ORO,ETH
272,STATE_272,272,STATE_272,AOC,FRA,AOC,,SEN,SEN
273,STATE_273,273,Libyan Desert,LBA,ITA,LBA,,LBA,LBA
274,STATE_274,274,STATE_274,DWA,ENG,DWA,,GHA,GHA
275,STATE_275,275,Transvaal,SAF,SAF,,,SAF,SAF TRV
283,STATE_283,1045,STATE_1045,XIC,NSI,XIC,,XIC,CHI NSI PRC XSM
286,STATE_286,1088,STATE_1088,DAS,FRA,DAS,,VIN,COC VIN
287,STATE_287,287,STATE_287,SIK,SIK,,,SIK,CHI PRC SIK TUG
288,STATE_288,288,STATE_288,BRM,RAJ,,,BRM,BRM
291,STATE_291,1011,STATE_1011,IRQ,IRQ,,ENG,IRQ,IRQ
292,STATE_292,854,STATE_854,SAU,SAU,,,SAU,JBS SAU
297,Malabo,297,Equatorial Guinea,DWA,SPR,,,EQG,EQG
310,STATE_310,310,STATE_310,USA,FRA,USA,,CAY,CAY
320,STATE_320,320,STATE_320,DRV,FRA,DRV,,IND,RAJ
321,STATE_321,321,STATE_321,POR,POR,,,IND,RAJ
325,STATE_325,325,STATE_325,YUN,YUN,,,YUN,CHI PRC YUN
326,STATE_326,326,STATE_326,GER,ENG,,,,CHI HKG PRC
328,STATE_328,328,Kirin,MAN,MAN,MAN,,MAN,CHI MAN PRC
329,STATE_329,329,STATE_329,RUS,TAN,,,RUS TAN,SIB SOV TAN
331,STATE_331,331,STATE_331,ENG,ENG,,,CAN,CAN NFL
332,STATE_332,332,STATE_332,ENG,ENG,,,CAN,CAN NFL
333,STATE_333,333,STATE_333,DAS,MAL,DAS,,MAL SAR,MAL SRW
334,STATE_334,1077,STATE_1077,INS,INS,,,GOW,INS SUU
335,STATE_335,335,Java,INS,INS,,,INS,INS MTR
336,STATE_336,1085,STATE_1085,DAS,MAL,DAS,,MAL,MAL
340,STATE_340,1055,STATE_1055,STC,TUR,STC,,TUR,TUR
341,STATE_341,797,STATE_797,STC,TUR,STC,,TUR,TUR
350,STATE_350,1060,STATE_1060,IRQ,TUR,IRQ,,KUR,KUR TUR
351,STATE_351,351,Vologda,RUS,SOV,,,RUS,SOV
352,STATE_352,352,STATE_352,KUR,TUR,,,,KUR TUR
353,STATE_353,800,Van,ARM,TUR,,,ARM KUR TUR,KUR TUR
354,STATE_354,354,STATE_354,ARM,TUR,,,ARM TUR,PON TUR
355,STATE_355,355,STATE_355,TUR,TUR,,,TUR,PON TUR
357,STATE_357,357,STATE_357,USA,USA,,,USA,NEE USA
371,STATE_371,371,STATE_371,USA,USA,,,USA,LOU USA
375,STATE_375,375,STATE_375,USA,USA,,,USA,TEX USA
378,STATE_378,378,STATE_378,USA,USA,,,USA,CAL USA
384,STATE_384,384,STATE_384,USA,USA,,,USA,SIX USA
397,STATE_397,397,STATE_397,RUS,SOV,,,KOM RUS,KOM SOV
398,STATE_398,398,STATE_398,RUS,SOV,,,RUS,KOM SOV
399,STATE_399,399,STATE_399,RUS,SOV,,,RUS UDM,KOM SOV
400,STATE_400,400,STATE_400,RUS,SOV,,,RUS,SOV
401,STATE_401,401,Balakovo,RUS,SOV,,,RUS,SOV
402,STATE_402,402,STATE_402,RUS,SOV,,,KAZ RUS,KAZ SOV
403,Tyumen,403,Tyumen,RUS,SOV,,,RUS,SIB SOV
404,STATE_404,881,Karagandy,RUS,SOV,,,KAZ RUS,KAZ SOV
405,STATE_405,405,Tashkent,RUS,SOV,,,RUS UZB,KOK SOV UZB
406,STATE_406,406,Gurev,RUS,SOV,,,KAZ RUS,KAZ SOV
407,STATE_407,407,STATE_407,RUS,SOV,,,KAZ RUS,KAZ SOV
408,STATE_408,408,STATE_408,RUS,SOV,,,FER RUS VLA,FER RUS SIB SOV
409,STATE_409,409,STATE_409,RUS,SOV,,,FER RUS VLA,FER SIB SOV
410,STATE_410,410,STATE_410,PER,PER,,,BLC PER,BAL PER
419,STATE_419,1000,STATE_1000,PER,PER,,,AZR KUR PER,AZR PER
423,Madurai,423,STATE_423,DRV,RAJ,DRV,,DRV,
424,Madras,424,Madras,DRV,RAJ,DRV,,DRV,
425,Mysore,425,Mysore,DRV,RAJ,DRV,,DRV MYS,
426,Orissa,426,Orissa,IND,RAJ,,,,
427,STATE_427,427,STATE_427,HYD,RAJ,,,HYD,HYD RAJ
428,STATE_428,428,STATE_428,IND,RAJ,,,WIS,
429,STATE_429,429,Bombay,MRA,RAJ,MRA,,IND MRA,
430,STATE_430,430,STATE_430,BAN,RAJ,BAN,,BAN IND PAK,BAN PAK RAJ
431,STATE_431,431,STATE_431,BAN,RAJ,,,BAN IND,
432,STATE_432,990,STATE_990,BAN,RAJ,,,MPU,
433,STATE_433,433,STATE_433,IND,RAJ,,,RJP,
434,STATE_434,434,STATE_434,TIB,TIB,,,IND TIB,RAJ TIB
435,STATE_435,435,STATE_435,IND,RAJ,,,,
436,Jabalpur,436,"Central provinces, was Jabalpur",IND,RAJ,,,,
437,Indore,437,STATE_437,IND,RAJ,,,CIP,
438,STATE_438,438,STATE_438,IND,RAJ,,,,
439,STATE_439,439,STATE_439,IND,RAJ,,,IND,RAJ
440,STATE_440,440,STATE_440,PAK,RAJ,PAK,,KHL PAK,PAK PUN
441,STATE_441,441,STATE_441,KAS,RAJ,,,KAS KHL,KSH RAJ
442,STATE_442,987,manpower = 217974,AFG,RAJ,AFG,,KHL NWF PAK,AFG PAK
443,STATE_443,443,Sind,PAK,RAJ,PAK,,IND PAK SIN,PAK SIN
444,STATE_444,444,STATE_444,KLT,RAJ,KLT,,BLC PAK,BAL PAK
445,STATE_445,445,STATE_445,PAK,RAJ,PAK,,KHL PAK,BAL PAK
446,STATE_446,907,STATE_907,EGY,EGY,EGY,,EGY,EGY
447,STATE_447,447,STATE_447,EGY,EGY,EGY,,EGY,EGY
448,STATE_448,448,STATE_448,LBA,ITA,LBA,,LBA,LBA
449,STATE_449,449,El Agheila,LBA,ITA,LBA,,LBA,LBA
450,STATE_450,450,STATE_450,LBA,ITA,LBA,,LBA,LBA
451,STATE_451,451,STATE_451,LBA,ITA,LBA,,LBA,LBA
452,STATE_452,452,STATE_452,EGY,EGY,EGY,,EGY,EGY
453,STATE_453,453,STATE_453,EGY,EGY,EGY,,EGY,EGY
454,STATE_454,454,Palestine,SYR,ENG,SYR,,ISR PAL,ISR PAL
455,STATE_455,455,STATE_455,SYR,ENG,SYR,,SYR,JOR
456,STATE_456,456,Aswan,EGY,EGY,EGY,,EGY,EGY
457,Arabian Desert,457,Arabian Desert,EGY,EGY,EGY,,EGY,EGY
458,STATE_458,458,STATE_458,TUN,FRA,TUN,,TUN,TUN
459,STATE_459,513,Tlmecen,ALG,FRA,ALG,,ALG,ALG
460,STATE_460,460,Constantine,ALG,FRA,ALG,,ALG,ALG
461,STATE_461,461,STATE_461,MOR,FRA,MOR,,MOR,MOR
462,STATE_462,462,STATE_462,MOR,FRA,MOR,,MOR,MOR
463,STATE_463,463,STATE_463,USA,USA,,,,ALA
475,STATE_475,475,STATE_475,MEX,MEX,,,MEX,CHP MEX
479,STATE_479,479,STATE_479,MEX,MEX,,,MEX RIG,MEX
480,STATE_480,480,STATE_480,MEX,MEX,,,MEX RIG,MEX RIO
483,STATE_483,483,STATE_483,MEX,MEX,,,MEX,MEX SON
484,STATE_484,484,STATE_484,MEX,MEX,,,MEX,MEX SON
490,STATE_490,490,STATE_490,ECU,PRU,,,ECU PRU,PRU
512,STATE_512,954,STATE_954,ARG,ARG,,,ARG WLA,ARG
513,STATE_513,513,Tlmecen,ALG,FRA,ALG,,ALG,ALG
514,STATE_514,514,Algerian Desert,ALG,FRA,ALG,,ALG,ALG
515,STATE_515,515,STATE_515,AOC,FRA,AOC,,NGR,NGR
522,STATE_522,522,STATE_522,AST,AST,,,AST,AST WSR
524,STATE_524,524,STATE_524,FOR,JAP,FOR,,FOR,CHI FOR PRC
525,STATE_525,525,STATE_525,KOR,JAP,KOR,,KOR,KOR
526,STATE_526,526,STATE_526,JAP,JAP,,,JAP OKN,JAP RYU
527,STATE_527,527,STATE_527,KOR,JAP,KOR,,KOR,KOR
536,STATE_536,536,STATE_536,JAP,JAP,,,ANU EZO JAP,JAP
537,STATE_537,537,STATE_537,RUS,JAP,,,ANU JAP,JAP
539,STATE_539,539,STATE_539,DWA,FRA,DWA,,GAB,GAB
541,STATE_541,893,STATE_893,DSW,SAF,DSW,,NMB SAF,NMB
542,STATE_542,542,STATE_542,BOT,ENG,BOT,,BOT,BOT
543,STATE_543,543,STATE_543,GER,FRA,GER,,MAD,MAD
545,STATE_545,545,STATE_545,FRN,ENG,FRN,,ZIM,ZIM
546,STATE_546,546,STATE_546,DOA,ENG,DOA,,TZN,TZN
547,STATE_547,904,STATE_904,DOA,ENG,DOA,,KEN,KEN
548,STATE_548,548,STATE_548,DOA,ENG,DOA,,UGA,UGA
549,STATE_549,549,"Kurdufan / was ""Sudan""",EGY,ENG,EGY,,SUD,SUD
550,STATE_550,550,STATE_550,ERI,ITA,ERI,ENG,ERI,ERI
551,STATE_551,551,STATE_551,EGY,ENG,EGY,,SUD,SUD
552,STATE_552,552,STATE_552,EGY,EGY,EGY,,EGY,EGY
553,STATE_553,553,STATE_553,SYR,FRA,SYR,,LEB,LEB
554,STATE_554,554,STATE_554,SYR,FRA,,,SYR,SYR
555,Kuril Islands,555,Kuril Islands,RUS,JAP,,,ANU JAP,
556,Mali (previously French West Africa),556,STATE_556,AOC,FRA,AOC,,MLI,MLI
557,Mauritania,557,Mauritania,AOC,FRA,AOC,,MRT,MRT
558,STATE_558,902,STATE_902,DWA,ENG,DWA,,NGA SOK,NGA SOK
559,STATE_559,559,STATE_559,SOM,ITA,SOM,ENG,SOM,SOM
560,STATE_560,560,Nikolayevsk,RUS,SOV,,,FER RUS,FER SIB SOV
561,STATE_561,561,Amur,RUS,SOV,,,FER RUS,FER SIB SOV
562,Okhotsk,562,Okhotsk,RUS,SOV,,,FER RUS,FER SIB SOV
563,STATE_563,563,Chita,RUS,SOV,,,FER RUS,FER SIB SOV
564,Ulan Ude,564,Ulan Ude,RUS,SOV,,,BYA RUS,BRY FER SIB SOV
565,Bodaybo,565,Bodaybo,RUS,SOV,,,EVE RUS,BRY FER SIB SOV
566,Irktusk,566,Irktusk,RUS,SOV,,,RUS,SIB SOV
567,STATE_567,567,Bratsk,RUS,SOV,,,RUS,SIB SOV
568,Krasnoyarsk,568,Krasnoyarsk,RUS,SOV,,,RUS,SIB SOV
569,Kemerovo,569,Khakassia,RUS,SOV,,,KHA RUS,SIB SOV
570,Novosibirsk,570,Novosibirsk,RUS,SOV,,,RUS,SIB SOV
571,Omsk,571,Omsk,RUS,SOV,,,RUS,SIB SOV
572,Chelyabinsk,572,Chelyabinsk,RUS,SOV,,,RUS,SIB SOV
573,Zlatoust,573,Zlatoust,RUS,SOV,,,RUS,IDL SOV
574,STATE_574,574,Yakutsk,RUS,SOV,,,RUS YAK,SIB SOV YAK
575,Kirensk,575,Kirensk,RUS,SOV,,,EVE RUS,SIB SOV
576,Yeniseisk,576,Yeniseisk,RUS,SOV,,,EVE RUS,SIB SOV
577,STATE_577,577,STATE_577,RUS,SOV,,,OVO RUS,SIB SOV
578,Tomsk,578,Tomsk,RUS,SOV,,,RUS,SIB SOV
579,Salekhard,579,Salekhard,RUS,SOV,,,RUS YAM,SIB SOV
580,Tobolsk,580,Tobolsk,RUS,SOV,,,OVO RUS,SIB SOV
581,STATE_581,581,STATE_581,RUS,SOV,,,KOM RUS,KOM SOV
582,STATE_582,582,STATE_582,RUS,SOV,,,RUS,IDL SOV
583,STATE_583,583,STATE_583,RUS,SOV,,,KAZ RUS,KAZ SOV
584,STATE_584,584,STATE_584,RUS,SOV,,,RUS TMS,SOV TMS
585,STATE_585,585,Navoiy,RUS,SOV,,,RUS UZB,SOV UZB
586,STATE_586,586,STATE_586,RUS,SOV,,,KAZ RUS,KAZ SOV
587,STATE_587,587,STATE_587,RUS,SOV,,,KAZ RUS,KAZ SOV
588,STATE_588,882,Pavlodar,RUS,SOV,,,KAZ RUS,KAZ SOV
589,STATE_589,589,STATE_589,RUS,SOV,,,KAZ RUS,KAZ SOV
590,Akmolinsk,590,Akmolinsk,RUS,SOV,,,KAZ RUS,KAZ SOV
591,STATE_591,591,STATE_591,GXC,CHI,JAP,JAP,GDC GXC,CHI GXC PRC
592,STATE_592,592,STATE_592,GXC,CHI,,,GDC GXC,CHI GXC PRC
593,STATE_593,593,STATE_593,GXC,CHI,,,GDC GXC,CHI GXC PRC
594,STATE_594,1033,STATE_1033,GXC,CHI,,,GDC GXC,CHI GXC PRC
595,STATE_595,595,STATE_595,KMT,CHI,,,KMT,CHI PRC
596,STATE_596,596,STATE_596,KMT,CHI,,,KMT,CHI PRC
